Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
ISP,2016-03-30,2.49,10250.0,2.5,2.25,0,,,
ISP,2016-04-06,2.35,20719.0,2.35,2.35,4,0.128,0.0,0.0
ISP,2016-04-11,2.55,6031.0,2.55,2.55,2,,,
ISP,2016-04-12,2.52,11000.0,2.55,2.52,0,,,
ISP,2016-04-13,2.5,28500.0,2.52,2.5,0,,,
ISP,2016-04-14,2.5,10172.0,2.5,2.5,0,,,
ISP,2016-04-15,2.5,48379.0,2.55,2.5,0,,,
ISP,2016-04-21,2.5,7500.0,2.5,2.5,3,,,
ISP,2016-04-22,2.45,20719.0,2.46,2.45,0,,,
ISP,2016-04-26,2.45,19300.0,2.45,2.45,1,,,
ISP,2016-04-27,2.68,50000.0,2.74,2.5,0,,,
ISP,2016-05-04,2.78,63000.0,2.8,2.68,4,,,
ISP,2016-05-09,2.7,20719.0,2.7,2.7,2,,,
ISP,2016-05-11,2.79,281.0,2.79,2.79,1,,,
ISP,2016-05-20,2.85,79943.0,2.85,2.8,6,0.0,1.0,0.0
ISP,2016-05-26,2.91,8688.0,3.0,2.85,3,,,
ISP,2016-06-01,3.0,31499.0,3.0,3.0,3,,,
ISP,2016-06-07,3.4500000000000006,10000.0,3.4500000000000006,3.4500000000000006,3,,,
ISP,2016-06-09,3.45,20705.0,3.45,3.45,1,,,
ISP,2016-06-13,3.65,20000.0,3.8,3.5,1,,,
ISP,2016-06-14,4.02,33811.0,4.1,3.9,0,,,
ISP,2016-06-15,4.15,3379.0,4.15,4.15,0,,,
ISP,2016-06-16,4.1,6000.0,4.1,4.1,0,,,
ISP,2016-06-20,4.1,31499.0,4.1,4.1,1,,,
ISP,2016-07-11,4.1,1000.0,4.1,4.1,14,,,
ISP,2016-07-28,4.5,5000.0,4.5,4.5,12,,,
ISP,2016-08-04,5.15,1000.0,5.15,5.15,4,,,
ISP,2016-08-08,5.15,4000.0,5.15,5.15,1,,,
ISP,2016-08-15,5.0,800.0,5.0,5.0,4,0.0,1.0,0.0
ISP,2016-08-16,5.22,34654.0,5.22,5.22,0,,,
ISP,2016-09-02,6.0,22802.0,6.0,6.0,12,,,
