Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
JBG,2016-01-04,10.27,124677.0,10.5,10.25,0,,,
JBG,2016-01-05,10.31,34091.0,10.45,10.21,0,,,
JBG,2016-01-06,10.75,47005.0,10.75,10.65,0,,,
JBG,2016-01-07,10.74,726646.0,10.8,10.5,0,,,
JBG,2016-01-08,10.68,462348.0,10.75,10.21,0,,,
JBG,2016-01-11,10.69,86400.0,10.95,10.5,0,,,
JBG,2016-01-12,10.78,124946.0,11.2,10.6,0,,,
JBG,2016-01-13,11.05,54818.0,11.5,10.8,0,,,
JBG,2016-01-14,11.95,317655.0,13.01,11.23,0,-0.0516,0.0,0.0
JBG,2016-01-15,11.58,256650.0,13.55,11.4,0,,,
JBG,2016-01-18,11.68,34714.0,11.75,11.6,0,,,
JBG,2016-01-19,11.68,110225.0,12.03,11.2,0,,,
JBG,2016-01-20,12.56,46648.0,12.7,12.51,0,,,
JBG,2016-01-21,13.36,107799.0,13.5,13.0,0,,,
JBG,2016-01-22,13.48,260019.0,13.5,13.11,0,,,
JBG,2016-01-25,13.61,80536.0,13.8,13.5,0,,,
JBG,2016-01-26,13.21,561626.0,14.0,13.1,0,,,
JBG,2016-01-27,14.14,120624.0,15.55,13.66,0,,,
JBG,2016-01-28,13.84,186932.0,14.5,13.5,0,,,
JBG,2016-01-29,14.14,37753.0,14.49,13.86,0,,,
JBG,2016-02-01,14.39,15237.0,14.45,14.2,0,,,
JBG,2016-02-02,14.11,40770.0,14.35,14.0,0,,,
JBG,2016-02-03,14.95,1951667.0,15.0,14.0,0,,,
JBG,2016-02-04,15.14,145679.0,15.45,15.0,0,,,
JBG,2016-02-05,14.53,337119.0,15.2,13.84,0,,,
JBG,2016-02-08,14.59,24546.0,14.8,14.0,0,,,
JBG,2016-02-09,14.27,178900.0,14.8,14.0,0,-0.4588,0.0,0.0
JBG,2016-02-11,14.29,45584.0,14.5,12.55,1,,,
JBG,2016-02-12,14.79,406083.0,15.0,13.26,0,,,
JBG,2016-02-15,14.95,6000.0,14.95,14.95,0,,,
JBG,2016-02-16,14.49,17581.0,14.94,14.0,0,,,
JBG,2016-02-17,14.16,72174.0,14.5,14.0,0,,,
JBG,2016-02-18,14.08,244239.0,14.9,13.75,0,-0.2263,0.0,0.0
JBG,2016-02-19,14.49,647438.0,14.9,14.0,0,,,
JBG,2016-02-22,14.76,186731.0,14.9,14.5,0,,,
JBG,2016-02-23,14.47,581121.0,14.9,14.31,0,,,
JBG,2016-02-24,14.51,426559.0,14.76,14.35,0,,,
JBG,2016-02-25,14.45,583521.0,14.9,14.3,0,,,
JBG,2016-02-26,13.77,154686.0,14.5,13.5,0,,,
JBG,2016-02-29,14.29,65926.0,14.75,14.0,0,,,
JBG,2016-03-01,13.66,7984.0,14.0,13.5,0,,,
JBG,2016-03-02,14.28,566345.0,14.6,13.5,0,,,
JBG,2016-03-03,14.28,144601.0,14.6,14.01,0,,,
JBG,2016-03-04,14.37,15761.0,14.55,14.0,0,0.1866,0.0,0.0
JBG,2016-03-07,14.47,444293.0,14.5,14.35,0,,,
JBG,2016-03-08,14.5,583222.0,14.59,14.35,0,,,
JBG,2016-03-09,14.53,223919.0,14.6,14.5,0,,,
JBG,2016-03-10,14.52,188789.0,14.55,14.5,0,,,
JBG,2016-03-11,14.51,33000.0,14.55,14.5,0,,,
JBG,2016-03-14,14.5,717457.0,14.95,13.8,0,,,
JBG,2016-03-15,14.09,3323214.0,14.6,14.08,0,,,
JBG,2016-03-16,14.04,45915.0,14.51,13.0,0,0.2023,1.0,0.0
JBG,2016-03-17,14.6,31174.0,14.99,14.09,0,,,
JBG,2016-03-18,14.49,389818.0,14.6,14.09,0,,,
JBG,2016-03-21,14.09,5375.0,14.09,14.0,0,,,
JBG,2016-03-22,13.44,12999.0,14.0,13.08,0,,,
JBG,2016-03-23,13.2,26235.0,13.2,13.2,0,,,
JBG,2016-03-24,13.66,54394.0,14.0,13.6,0,,,
JBG,2016-03-29,14.25,45199.0,14.85,13.68,2,,,
JBG,2016-03-30,14.28,79909.0,14.28,14.24,0,,,
JBG,2016-03-31,14.29,415613.0,14.85,14.28,0,,,
JBG,2016-04-01,14.47,34098.0,14.8,14.28,0,,,
JBG,2016-04-04,14.5,143699.0,14.8,14.5,0,,,
JBG,2016-04-05,14.55,405577.0,14.8,14.5,0,,,
JBG,2016-04-06,14.5,71240.0,14.65,14.5,0,,,
JBG,2016-04-07,14.7,323265.0,14.8,14.7,0,,,
JBG,2016-04-08,14.67,3726493.0,14.8,14.5,0,,,
JBG,2016-04-11,14.52,55156.0,14.75,14.5,0,,,
JBG,2016-04-12,14.65,505700.0,14.75,14.5,0,,,
JBG,2016-04-13,14.63,27750.0,14.8,14.5,0,,,
JBG,2016-04-14,14.51,18535.0,14.8,14.5,0,,,
JBG,2016-04-15,14.8,6450.0,14.8,14.8,0,,,
JBG,2016-04-18,14.58,41209.0,14.8,14.28,0,,,
JBG,2016-04-19,14.5,86000.0,14.58,14.5,0,,,
JBG,2016-04-20,14.13,30865.0,14.5,13.7,0,,,
JBG,2016-04-21,14.05,9631.0,14.05,14.01,0,,,
JBG,2016-04-22,14.22,8350.0,14.5,14.0,0,,,
JBG,2016-04-25,14.45,10673.0,14.45,14.45,0,,,
JBG,2016-04-26,14.44,46616.0,14.5,14.25,0,,,
JBG,2016-04-27,14.38,288526.0,14.5,14.0,0,,,
JBG,2016-04-28,14.11,22805.0,14.5,14.0,0,,,
JBG,2016-04-29,14.36,25000.0,14.5,14.15,0,,,
JBG,2016-05-02,14.16,14350.0,14.4,14.1,0,,,
JBG,2016-05-03,14.35,19395.0,14.5,14.3,0,,,
JBG,2016-05-04,14.44,309968.0,14.5,14.15,0,,,
JBG,2016-05-05,14.54,54653.0,14.55,14.5,0,,,
