Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
JMMBGL,2016-01-04,10.26,10000.0,10.29,10.2,0,,,
JMMBGL,2016-01-05,10.31,331521.0,10.45,10.29,0,,,
JMMBGL,2016-01-06,10.94,1104439.0,11.1,10.31,0,,,
JMMBGL,2016-01-07,11.71,5500.0,12.0,10.94,0,,,
JMMBGL,2016-01-08,11.21,223017.0,12.36,10.41,0,,,
JMMBGL,2016-01-11,11.84,34090.0,12.99,11.12,0,,,
JMMBGL,2016-01-12,11.95,666056.0,12.0,11.3,0,,,
JMMBGL,2016-01-13,12.14,147734.0,12.5,11.97,0,,,
JMMBGL,2016-01-14,12.01,94158.0,12.15,11.95,0,,,
JMMBGL,2016-01-15,11.76,83100.0,11.95,11.6,0,,,
JMMBGL,2016-01-18,11.83,287100.0,12.0,11.12,0,,,
JMMBGL,2016-01-19,11.38,237056.0,12.0,10.6,0,,,
JMMBGL,2016-01-20,11.01,2067358.0,11.8,11.0,0,,,
JMMBGL,2016-01-21,11.01,25606.0,11.01,11.01,0,,,
JMMBGL,2016-01-22,10.72,108518.0,11.83,10.42,0,0.0772,0.0,0.0
JMMBGL,2016-01-25,10.7,1042305.0,11.0,10.7,0,,,
JMMBGL,2016-01-26,10.78,112847.0,11.0,10.65,0,,,
JMMBGL,2016-01-27,10.98,155743.0,11.0,10.78,0,,,
JMMBGL,2016-01-28,11.0,80650.0,11.01,10.98,0,,,
JMMBGL,2016-01-29,10.9,47742.0,11.0,10.9,0,,,
JMMBGL,2016-02-01,10.92,26728.0,11.0,10.9,0,,,
JMMBGL,2016-02-02,10.96,9500.0,11.0,10.91,0,,,
JMMBGL,2016-02-03,10.74,1098727.0,10.95,10.7,0,,,
JMMBGL,2016-02-04,10.6,577792.0,11.2,10.55,0,,,
JMMBGL,2016-02-05,10.93,55000.0,11.01,10.75,0,,,
JMMBGL,2016-02-08,11.0,12000.0,11.0,11.0,0,,,
JMMBGL,2016-02-09,11.63,12133.0,11.9,11.5,0,,,
JMMBGL,2016-02-11,11.75,6875563.0,12.1,11.5,1,,,
JMMBGL,2016-02-12,13.25,8350.0,14.0,12.08,0,-0.2263,1.0,0.0
JMMBGL,2016-02-15,13.0,1136590.0,13.55,11.4,0,,,
JMMBGL,2016-02-16,12.79,76393.0,13.01,12.0,0,,,
JMMBGL,2016-02-17,11.5,94905.0,13.0,11.25,0,,,
JMMBGL,2016-02-18,11.43,38315.0,11.5,11.0,0,,,
JMMBGL,2016-02-19,11.0,22851.0,11.0,10.95,0,,,
JMMBGL,2016-02-22,11.47,18468.0,11.85,11.0,0,,,
JMMBGL,2016-02-23,11.05,113731.0,11.8,11.0,0,,,
JMMBGL,2016-02-24,10.46,637636.0,11.0,10.41,0,,,
JMMBGL,2016-02-25,10.56,280100.0,11.0,10.41,0,,,
JMMBGL,2016-02-26,11.06,2655.0,11.8,10.62,0,,,
JMMBGL,2016-02-29,11.57,8250.0,11.85,11.0,0,,,
JMMBGL,2016-03-01,10.65,111852.0,11.0,10.42,0,,,
JMMBGL,2016-03-02,10.5,290907.0,10.65,10.42,0,,,
JMMBGL,2016-03-03,10.53,410308.0,10.65,10.42,0,,,
JMMBGL,2016-03-04,10.41,745095.0,10.45,10.41,0,,,
JMMBGL,2016-03-07,10.41,401491.0,10.53,10.4,0,,,
JMMBGL,2016-03-08,10.48,39263.0,10.53,10.39,0,,,
JMMBGL,2016-03-09,10.49,16994.0,10.5,10.39,0,,,
JMMBGL,2016-03-10,10.51,52994.0,10.6,10.49,0,,,
JMMBGL,2016-03-11,10.49,25490.0,10.49,10.49,0,,,
JMMBGL,2016-03-14,10.4,852261.0,10.44,10.4,0,,,
JMMBGL,2016-03-15,10.38,72435.0,10.43,10.3,0,,,
JMMBGL,2016-03-16,10.1,1000.0,10.1,10.1,0,,,
JMMBGL,2016-03-17,10.09,25250.0,10.3,10.0,0,,,
JMMBGL,2016-03-18,10.03,129188.0,10.3,10.0,0,,,
JMMBGL,2016-03-21,10.02,7596.0,10.3,10.0,0,,,
JMMBGL,2016-03-23,10.16,1000.0,10.2,10.15,1,,,
JMMBGL,2016-03-24,10.01,27342.0,10.2,10.0,0,,,
