Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
JSE,2016-01-04,18.99,1400.0,18.99,18.99,0,0.0772,0.0,1.0
JSE,2016-01-05,18.67,42101.0,18.99,18.6,0,,,
JSE,2016-01-06,18.6,37839.0,18.6,18.6,0,0.0772,0.0,1.0
JSE,2016-01-11,18.82,27135.0,18.82,18.76,2,-0.21075,0.0,0.0
JSE,2016-01-13,19.05,29100.0,21.39,19.0,1,,,
JSE,2016-01-14,19.0,900.0,19.0,19.0,0,,,
JSE,2016-01-15,20.0,200000.0,20.0,20.0,0,0.0,0.0,0.0
JSE,2016-01-18,20.0,26333.0,20.0,20.0,0,,,
JSE,2016-01-19,19.66,29810.0,20.0,19.2,0,,,
JSE,2016-01-20,19.8,5864920.0,19.8,19.8,0,,,
JSE,2016-01-21,19.67,4899.0,19.7,19.66,0,,,
JSE,2016-01-22,19.67,109420.0,19.7,19.66,0,0.0,0.0,0.0
JSE,2016-01-25,19.67,5740.0,19.7,19.67,0,,,
JSE,2016-01-26,19.69,199677.0,19.7,19.51,0,,,
JSE,2016-01-27,19.7,16300.0,19.7,19.69,0,0.3182,0.0,0.0
JSE,2016-01-29,19.71,1000.0,19.71,19.71,1,,,
JSE,2016-02-01,20.0,3500.0,20.0,20.0,0,,,
JSE,2016-02-02,20.0,73700.0,20.0,20.0,0,,,
JSE,2016-02-03,19.87,42577.0,20.0,19.75,0,,,
JSE,2016-02-04,19.84,50007.0,20.0,19.72,0,,,
JSE,2016-02-05,20.0,14000.0,20.0,20.0,0,,,
JSE,2016-02-09,20.0,12480.0,20.0,20.0,1,,,
JSE,2016-02-15,21.16,55290.0,23.0,20.0,3,0.0,0.0,0.0
JSE,2016-02-16,22.5,3403.0,22.5,22.5,0,,,
JSE,2016-02-17,22.0,3000.0,22.0,22.0,0,,,
JSE,2016-02-18,21.95,210710.0,22.0,21.95,0,,,
JSE,2016-02-19,22.35,46000.0,22.35,22.35,0,0.0,0.0,0.0
JSE,2016-02-22,22.8,53210.0,24.0,22.41,0,,,
JSE,2016-02-23,23.0,111450.0,23.0,23.0,0,,,
JSE,2016-02-24,23.0,1000.0,23.0,23.0,0,,,
JSE,2016-02-26,23.5,5000.0,23.5,23.5,1,0.0,0.0,0.0
JSE,2016-02-29,22.08,3396.0,23.5,21.0,0,0.17,0.0,0.0
JSE,2016-03-01,22.89,18350.0,23.0,21.0,0,,,
JSE,2016-03-02,23.0,524.0,23.0,23.0,0,0.0,0.0,0.0
JSE,2016-03-03,23.0,10000.0,23.0,23.0,0,0.4588,0.0,1.0
JSE,2016-03-04,22.83,37020.0,23.0,21.0,0,0.0,0.0,0.0
JSE,2016-03-07,23.0,6330.0,23.0,23.0,0,,,
JSE,2016-03-08,22.9,1400.0,22.9,22.9,0,,,
JSE,2016-03-09,21.0,5000.0,21.0,21.0,0,,,
JSE,2016-03-10,22.28,3000.0,22.85,22.0,0,0.9042,0.0,0.0
JSE,2016-03-11,22.48,31000.0,22.5,22.0,0,0.4467,0.0,0.0
JSE,2016-03-14,22.5,389.0,22.5,22.5,0,0.8591,0.0,0.0
JSE,2016-03-15,22.5,90000.0,22.5,22.5,0,,,
JSE,2016-03-16,22.3,5000.0,22.3,22.3,0,,,
JSE,2016-03-17,22.45,1550.0,22.45,22.45,0,,,
JSE,2016-03-18,22.01,11784.0,22.45,22.0,0,,,
JSE,2016-03-21,22.9,25254.0,22.9,22.9,0,0.3182,0.0,0.0
JSE,2016-03-22,22.41,17993.0,22.9,21.0,0,,,
JSE,2016-03-30,22.5,1200.0,22.5,22.5,5,0.3182,0.0,0.0
JSE,2016-04-06,19.92,8300.0,20.0,19.55,4,0.31038750000000004,0.0,0.0
JSE,2016-04-12,19.6,5027520.0,19.7,19.5,3,0.3182,0.0,0.0
JSE,2016-04-13,19.01,13110.0,19.2,19.0,0,,,
JSE,2016-04-14,19.03,10627.0,19.92,19.0,0,,,
JSE,2016-04-18,19.13,17539.0,19.3,19.0,1,0.3182,0.0,0.0
JSE,2016-04-20,20.55,150.0,20.55,20.55,1,0.268,0.0,0.0
JSE,2016-04-22,20.42,7733.0,20.55,20.4,1,0.3182,0.0,0.0
JSE,2016-04-25,21.0,440.0,21.0,21.0,0,,,
JSE,2016-04-26,21.0,2872.0,21.0,21.0,0,,,
JSE,2016-04-27,21.0,30330.0,21.0,21.0,0,,,
JSE,2016-04-28,21.33,15000.0,22.0,21.0,0,,,
JSE,2016-04-29,21.0,5000.0,21.0,21.0,0,0.3182,0.0,0.0
JSE,2016-05-03,20.66,20000.0,21.0,20.55,1,,,
JSE,2016-05-06,20.55,150.0,20.55,20.55,2,0.55135,0.0,1.0
JSE,2016-05-09,21.0,108346.0,21.0,21.0,0,,,
JSE,2016-05-10,21.0,2000.0,21.0,21.0,0,,,
JSE,2016-05-11,21.0,4800.0,21.0,21.0,0,,,
JSE,2016-05-13,20.9,1300.0,21.0,20.55,1,0.1591,1.0,0.0
JSE,2016-05-16,20.68,35549.0,21.0,20.56,0,,,
JSE,2016-05-18,20.9,5000.0,20.9,20.9,1,-0.07655,0.0,0.0
JSE,2016-05-19,21.0,150.0,21.0,21.0,0,,,
JSE,2016-05-20,20.8,1500.0,20.8,20.8,0,0.3182,0.0,0.0
JSE,2016-05-25,20.88,4027.0,21.0,20.8,2,0.37895,0.0,0.0
JSE,2016-05-26,20.8,7700.0,20.8,20.8,0,,,
JSE,2016-05-30,20.8,125.0,20.8,20.8,1,0.3182,0.0,0.0
JSE,2016-06-01,20.63,1630.0,20.75,20.56,1,0.14800000000000002,0.0,0.0
JSE,2016-06-02,20.75,2700.0,20.8,20.75,0,,,
JSE,2016-06-06,20.01,25000.0,20.75,20.0,1,0.5749,0.0,0.0
JSE,2016-06-07,20.8,41900.0,20.8,20.8,0,,,
JSE,2016-06-08,21.0,360.0,21.0,21.0,0,,,
JSE,2016-06-10,20.0,300.0,20.0,20.0,1,0.52665,0.0,0.0
JSE,2016-06-14,20.0,500.0,20.0,20.0,1,,,
JSE,2016-06-15,19.25,16693.0,20.5,19.0,0,,,
JSE,2016-06-20,19.0,2000.0,19.0,19.0,2,0.3182,0.0,0.0
JSE,2016-06-21,19.0,200.0,19.0,19.0,0,0.29600000000000004,0.0,1.0
JSE,2016-06-22,19.0,31150.0,19.0,19.0,0,,,
JSE,2016-06-23,19.02,11115857.0,20.75,19.02,0,0.29600000000000004,0.0,0.0
JSE,2016-06-24,20.9,108510.0,21.05,20.75,0,0.3182,0.0,0.0
JSE,2016-06-28,22.0,5000.0,22.0,22.0,1,,,
JSE,2016-06-30,25.0,3000.0,25.0,25.0,1,0.08825000000000001,0.0,1.0
JSE,2016-07-01,25.1,1931.0,25.1,25.1,0,,,
JSE,2016-07-04,24.88,8160.0,25.1,23.0,0,,,
JSE,2016-07-05,22.3,28804.0,24.0,22.0,0,,,
JSE,2016-07-06,21.33,22596.0,22.5,21.0,0,0.2732,0.0,0.0
JSE,2016-07-07,21.35,1000.0,21.5,21.33,0,0.4477,0.0,1.0
JSE,2016-07-11,21.35,28748.0,21.35,21.33,1,0.3182,0.0,0.0
JSE,2016-07-12,21.35,10000.0,21.35,21.35,0,,,
JSE,2016-07-13,21.36,3000.0,21.37,21.35,0,,,
JSE,2016-07-14,21.35,6616.0,21.35,21.35,0,,,
JSE,2016-07-18,24.0,200.0,24.0,24.0,1,0.3182,0.0,0.0
JSE,2016-07-19,23.58,11831.0,24.0,23.0,0,,,
JSE,2016-07-20,22.03,29469.0,23.0,22.0,0,0.0,0.0,0.0
JSE,2016-07-22,22.41,25000.0,23.0,22.0,1,0.3291,1.0,0.0
JSE,2016-07-25,22.97,78730.0,23.0,22.0,0,0.4588,0.0,0.0
JSE,2016-07-26,23.98,20704.0,24.0,23.0,0,,,
JSE,2016-07-28,22.5,49495.0,22.5,22.5,1,,,
JSE,2016-08-02,22.0,7200.0,22.0,22.0,2,0.3725,0.0,0.0
JSE,2016-08-03,22.0,18000.0,22.0,22.0,0,,,
JSE,2016-08-04,22.0,30000.0,22.0,22.0,0,,,
JSE,2016-08-05,21.99,10000.0,21.99,21.99,0,0.3182,0.0,0.0
JSE,2016-08-08,21.12,9100.0,22.0,21.1,0,0.6597,0.0,0.0
JSE,2016-08-09,23.99,14147.0,24.0,23.5,0,,,
JSE,2016-08-11,22.0,12310.0,22.0,22.0,1,,,
JSE,2016-08-12,21.5,107756.0,21.51,21.5,0,0.3182,0.0,0.0
JSE,2016-08-15,21.5,300.0,21.5,21.5,0,,,
JSE,2016-08-16,21.5,42200.0,21.5,21.5,0,,,
JSE,2016-08-17,21.5,2600.0,21.5,21.5,0,,,
JSE,2016-08-18,23.91,12000.0,24.0,23.0,0,,,
JSE,2016-08-19,21.49,74900.0,21.5,21.3,0,0.3182,0.0,0.0
JSE,2016-08-22,21.5,17093.0,21.5,21.5,0,,,
JSE,2016-08-23,21.5,9600.0,21.5,21.5,0,0.29600000000000004,0.0,1.0
JSE,2016-08-24,21.5,16950.0,21.5,21.5,0,,,
JSE,2016-08-25,21.5,1300.0,21.5,21.5,0,,,
JSE,2016-08-26,21.25,1000.0,21.25,21.25,0,0.3182,0.0,0.0
JSE,2016-08-29,21.25,3400.0,21.25,21.25,0,,,
JSE,2016-08-30,21.49,7125.0,21.5,21.25,0,,,
JSE,2016-08-31,21.5,18034.0,21.5,21.5,0,0.0,0.0,0.0
JSE,2016-09-01,23.88,38341.0,24.1,23.5,0,0.5994,0.0,1.0
JSE,2016-09-02,27.36,4608.0,27.4,25.55,0,0.3182,0.0,0.0
JSE,2016-09-05,27.66,87620.0,28.0,27.4,0,0.4939,0.0,0.0
JSE,2016-09-06,27.9,28280.0,29.5,27.82,0,,,
JSE,2016-09-07,27.16,160144.0,28.0,27.1,0,,,
JSE,2016-09-08,28.15,80279.0,28.5,27.4,0,,,
