Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
KEX,2016-01-05,10.65,7678.0,10.65,10.65,0,,,
KEX,2016-01-11,12.300000000000002,3000.0,12.300000000000002,12.300000000000002,3,,,
KEX,2016-01-22,14.98,20820.0,15.0,13.01,8,0.0,1.0,0.0
KEX,2016-01-26,15.07,2400.0,15.1,15.0,1,,,
KEX,2016-01-27,15.2,84617.0,15.2,15.2,0,,,
KEX,2016-01-29,15.2,700.0,15.2,15.2,1,,,
KEX,2016-02-03,16.5,1900.0,16.5,16.5,2,,,
KEX,2016-02-04,17.25,1550.0,17.25,17.25,0,,,
KEX,2016-02-08,17.25,13450.0,17.25,17.25,1,,,
KEX,2016-02-09,17.21,6924.0,18.5,17.0,0,,,
KEX,2016-02-11,17.0,5110.0,17.0,17.0,1,,,
KEX,2016-02-15,17.5,1139354.0,18.5,17.5,1,,,
KEX,2016-02-16,17.5,10000.0,17.5,17.5,0,,,
KEX,2016-02-24,18.53,1500.0,18.57,18.51,5,,,
KEX,2016-02-26,18.51,3500.0,18.51,18.51,1,,,
KEX,2016-03-08,19.0,1000.0,19.0,19.0,6,,,
KEX,2016-03-09,19.0,3943.0,19.0,19.0,0,,,
KEX,2016-03-15,20.0,909.0,20.0,20.0,3,,,
KEX,2016-03-16,20.0,214.0,20.0,20.0,0,,,
KEX,2016-03-17,21.53,640.0,22.0,19.0,0,,,
KEX,2016-03-23,22.0,312.0,22.0,22.0,3,,,
KEX,2016-03-24,22.51,1966.0,23.2,22.0,0,,,
KEX,2016-03-30,22.0,1429.0,22.0,22.0,3,,,
KEX,2016-03-31,22.0,2096.0,22.0,22.0,0,,,
KEX,2016-04-01,22.0,119.0,22.0,22.0,0,,,
KEX,2016-04-04,22.0,350.0,22.0,22.0,0,,,
KEX,2016-04-05,17.71,57252.0,22.0,17.5,0,,,
KEX,2016-04-11,22.0,100.0,22.0,22.0,3,,,
KEX,2016-04-12,19.78,9631.0,22.0,19.0,0,,,
KEX,2016-04-13,19.19,1601.0,19.5,19.0,0,,,
KEX,2016-04-14,20.84,23952.0,20.95,19.0,0,0.0,1.0,0.0
KEX,2016-04-15,19.0,406.0,19.0,19.0,0,,,
KEX,2016-04-18,19.0,14437.0,19.0,19.0,0,,,
KEX,2016-04-19,19.0,9620.0,19.0,19.0,0,,,
KEX,2016-04-21,19.0,9415.0,19.0,19.0,1,,,
KEX,2016-04-25,18.9,1500.0,18.9,18.9,1,,,
KEX,2016-04-29,17.97,9600.0,18.9,16.8,3,,,
KEX,2016-05-03,16.82,2900.0,17.0,16.8,1,,,
KEX,2016-05-04,18.9,2100.0,18.9,18.9,0,,,
KEX,2016-05-10,17.07,19430.0,18.0,17.0,3,,,
KEX,2016-05-13,18.0,6200.0,18.0,18.0,2,,,
KEX,2016-05-16,18.0,1570.0,18.0,18.0,0,,,
KEX,2016-05-17,18.0,8366.0,18.0,18.0,0,,,
KEX,2016-05-18,18.0,1075.0,18.0,18.0,0,,,
KEX,2016-05-20,17.5,4600.0,17.5,17.5,1,,,
KEX,2016-05-27,16.8,190.0,16.8,16.8,4,,,
KEX,2016-06-01,17.9,16679.0,18.0,17.5,2,,,
KEX,2016-06-02,17.52,6200.0,17.99,17.5,0,,,
KEX,2016-06-06,17.5,20120.0,17.5,17.5,1,,,
KEX,2016-06-07,17.5,500.0,17.5,17.5,0,,,
KEX,2016-06-22,17.42,2963.0,17.5,17.25,10,,,
KEX,2016-06-27,17.5,1033.0,17.5,17.5,2,,,
KEX,2016-06-29,17.5,28182.0,17.5,17.5,1,,,
KEX,2016-07-01,17.5,200.0,17.5,17.5,1,,,
KEX,2016-07-04,16.8,460.0,16.8,16.8,0,,,
KEX,2016-07-11,14.7,200.0,14.7,14.7,4,-0.2263,0.0,0.0
KEX,2016-07-12,14.76,3336.0,15.0,14.7,0,,,
KEX,2016-07-15,15.04,2110.0,15.1,15.0,2,,,
KEX,2016-07-19,15.0,119.0,15.0,15.0,1,,,
KEX,2016-07-20,15.0,270000.0,15.0,15.0,0,,,
KEX,2016-07-21,15.0,22732.0,15.0,15.0,0,,,
KEX,2016-07-29,19.0,316.0,19.0,19.0,5,0.0772,0.0,0.0
KEX,2016-08-04,19.52,30000.0,19.52,19.52,3,-0.2263,1.0,0.0
KEX,2016-08-05,17.99,21500.0,19.15,16.7,0,,,
KEX,2016-08-08,19.0,23977.0,19.0,19.0,0,,,
KEX,2016-08-10,19.0,6865.0,19.0,19.0,1,,,
KEX,2016-08-11,19.0,2872.0,19.0,19.0,0,,,
KEX,2016-08-12,19.25,6700.0,19.25,19.25,0,,,
KEX,2016-08-15,20.0,19324.0,20.0,20.0,0,,,
KEX,2016-08-16,20.0,176.0,20.0,20.0,0,,,
KEX,2016-08-19,22.0,144537.0,22.0,21.95,2,,,
KEX,2016-08-22,23.2,5545.0,23.2,23.2,0,,,
KEX,2016-08-23,23.24,2882.0,23.25,23.21,0,,,
KEX,2016-08-26,25.0,190.0,25.0,25.0,2,,,
