Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
KREMI,2016-01-04,4.08,500000.0,4.08,4.08,0,,,
KREMI,2016-01-05,4.01,153300.0,4.05,4.0,0,,,
KREMI,2016-01-06,3.92,54293.0,4.03,3.89,0,,,
KREMI,2016-01-07,4.14,379183.0,4.18,4.0,0,,,
KREMI,2016-01-08,4.45,1647902.0,4.68,4.35,0,-0.2263,1.0,0.0
KREMI,2016-01-11,4.46,126619.0,4.7,4.19,0,,,
KREMI,2016-01-12,4.87,377064.0,5.0,4.5,0,,,
KREMI,2016-01-13,5.17,122000.0,5.2,5.0,0,0.4588,0.0,1.0
KREMI,2016-01-14,5.09,90259.0,5.14,5.0,0,,,
KREMI,2016-01-15,4.97,464151.0,5.1,4.9,0,,,
KREMI,2016-01-18,4.87,76999.0,4.98,4.8,0,,,
KREMI,2016-01-19,4.94,4000.0,4.94,4.94,0,,,
KREMI,2016-01-20,4.85,82361.0,4.94,4.8,0,,,
KREMI,2016-01-21,4.64,35000.0,4.75,4.5,0,,,
KREMI,2016-01-22,4.38,17700.0,4.76,4.1,0,,,
KREMI,2016-01-25,4.55,950.0,4.55,4.55,0,,,
KREMI,2016-01-26,4.78,31376.0,4.8,4.5,0,,,
KREMI,2016-01-27,4.53,17800.0,4.8,4.35,0,,,
KREMI,2016-01-28,4.8,15040.0,4.8,4.8,0,,,
KREMI,2016-01-29,4.54,25562.0,4.65,4.53,0,,,
KREMI,2016-02-01,4.68,23065.0,4.75,4.54,0,,,
KREMI,2016-02-02,4.66,35984.0,4.75,4.65,0,,,
KREMI,2016-02-03,4.63,52489.0,4.75,4.3,0,,,
KREMI,2016-02-04,4.75,4900.0,4.75,4.75,0,,,
KREMI,2016-02-05,4.68,30281.0,4.75,4.6,0,,,
KREMI,2016-02-08,4.73,93873.0,4.75,4.69,0,,,
KREMI,2016-02-09,4.63,88384.0,4.7,4.62,0,,,
KREMI,2016-02-11,4.65,95273.0,4.65,4.65,1,,,
KREMI,2016-02-12,4.21,532315.0,4.7,4.15,0,,,
KREMI,2016-02-15,4.46,43962.0,4.65,4.17,0,,,
