Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
KW,2016-01-05,11.35,21296.0,11.35,11.35,0,,,
KW,2016-01-06,11.3,6071000.0,11.4,11.3,0,,,
KW,2016-01-07,11.39,155819.0,11.4,11.0,0,,,
KW,2016-01-08,11.26,62559.0,11.3,11.25,0,,,
KW,2016-01-11,11.25,34334.0,11.25,11.25,0,,,
KW,2016-01-12,11.25,23575.0,11.25,11.25,0,,,
KW,2016-01-13,11.24,13400.0,11.25,11.2,0,,,
KW,2016-01-14,11.15,80823.0,11.2,11.15,0,,,
KW,2016-01-15,11.15,8341.0,11.15,11.15,0,,,
KW,2016-01-18,11.1,52797.0,11.15,11.01,0,0.4588,0.0,1.0
KW,2016-01-19,11.08,3665.0,11.15,11.05,0,,,
KW,2016-01-20,11.05,1113.0,11.05,11.05,0,,,
KW,2016-01-21,11.02,23750.0,11.05,11.0,0,,,
KW,2016-01-22,11.0,6992.0,11.0,11.0,0,,,
KW,2016-01-25,11.06,30400.0,11.15,11.0,0,,,
KW,2016-01-26,11.05,11310.0,11.14,11.0,0,,,
KW,2016-01-27,11.15,5112.0,11.15,11.15,0,,,
KW,2016-01-28,11.19,27407.0,11.3,11.14,0,,,
KW,2016-01-29,11.06,9700.0,11.1,11.0,0,,,
KW,2016-02-01,11.12,9245.0,11.19,11.09,0,,,
KW,2016-02-03,11.07,9755.0,11.1,11.0,1,,,
KW,2016-02-04,11.0,12200.0,11.0,11.0,0,,,
KW,2016-02-05,10.47,2660.0,10.5,10.4,0,,,
KW,2016-02-08,10.47,300.0,10.47,10.47,0,,,
KW,2016-02-09,10.71,16827.0,11.0,10.5,0,,,
KW,2016-02-11,11.03,13848.0,11.19,11.0,1,,,
KW,2016-02-12,11.45,10545.0,11.45,11.45,0,,,
KW,2016-02-15,11.4,2500.0,11.4,11.4,0,,,
KW,2016-02-16,11.4,21850.0,11.4,11.4,0,,,
KW,2016-02-17,11.4,38100.0,11.45,11.4,0,,,
KW,2016-02-18,11.4,5900.0,11.4,11.4,0,,,
KW,2016-02-19,11.45,7260.0,11.45,11.45,0,,,
KW,2016-02-22,11.45,9315.0,11.45,11.45,0,,,
KW,2016-02-23,11.41,16306.0,11.45,11.4,0,,,
KW,2016-02-24,11.41,14225.0,11.45,11.4,0,,,
KW,2016-02-25,11.44,68371.0,11.45,11.4,0,,,
KW,2016-02-29,11.33,3000.0,11.4,11.19,1,-0.2263,1.0,0.0
KW,2016-03-01,11.44,2205.0,11.44,11.44,0,,,
KW,2016-03-02,11.31,1361.0,11.31,11.31,0,0.165275,0.0,0.0
KW,2016-03-03,11.31,8495.0,11.31,11.31,0,,,
KW,2016-03-04,11.39,22126.0,11.39,11.39,0,,,
KW,2016-03-07,11.3,14069404.0,11.44,11.3,0,,,
KW,2016-03-08,11.34,11800.0,11.45,11.3,0,,,
KW,2016-03-09,11.36,101153.0,11.45,11.3,0,,,
KW,2016-03-10,11.45,363.0,11.45,11.45,0,,,
KW,2016-03-11,11.45,214520.0,11.5,11.45,0,,,
KW,2016-03-14,11.5,890.0,11.5,11.5,0,,,
KW,2016-03-15,11.5,34654.0,11.5,11.45,0,,,
KW,2016-03-16,11.5,3520.0,11.5,11.5,0,,,
KW,2016-03-17,11.5,3000.0,11.5,11.5,0,,,
KW,2016-03-18,11.45,3366.0,11.5,11.45,0,,,
KW,2016-03-21,11.45,1000.0,11.45,11.45,0,,,
KW,2016-03-22,11.45,7400.0,11.5,11.45,0,,,
KW,2016-03-23,11.49,41719.0,11.5,11.3,0,,,
KW,2016-03-24,11.5,500.0,11.5,11.5,0,,,
KW,2016-03-29,11.5,2000.0,11.5,11.5,2,,,
KW,2016-03-30,11.5,2000.0,11.5,11.5,0,,,
KW,2016-03-31,11.5,8000.0,11.5,11.5,0,,,
KW,2016-04-01,11.44,9299.0,11.5,11.3,0,,,
KW,2016-04-04,11.3,5098.0,11.3,11.3,0,,,
KW,2016-04-05,11.3,50500.0,11.3,11.3,0,,,
KW,2016-04-06,11.31,51000.0,11.31,11.3,0,,,
KW,2016-04-07,11.3,89288.0,11.5,11.3,0,,,
KW,2016-04-08,11.43,13945.0,11.5,11.3,0,,,
KW,2016-04-11,11.5,2965.0,11.5,11.5,0,,,
KW,2016-04-15,11.5,14595.0,11.5,11.5,3,,,
KW,2016-04-18,11.5,3250.0,11.5,11.5,0,,,
KW,2016-04-19,11.38,7540.0,11.4,11.35,0,,,
KW,2016-04-21,11.32,52190.0,11.35,11.3,1,,,
KW,2016-04-22,11.49,5000.0,11.5,11.45,0,,,
KW,2016-04-27,11.36,3000.0,11.5,11.3,2,,,
KW,2016-04-28,11.2,6174.0,11.36,11.15,0,,,
KW,2016-04-29,11.33,21644.0,11.5,11.15,0,,,
KW,2016-05-02,12.0,1000.0,12.0,12.0,0,0.0,1.0,0.0
KW,2016-05-04,12.07,16000.0,12.3,12.0,1,,,
KW,2016-05-05,13.0,200.0,13.0,13.0,0,,,
KW,2016-05-06,11.52,500000.0,12.35,11.5,0,,,
KW,2016-05-09,11.65,7400.0,11.66,11.65,0,,,
KW,2016-05-10,11.65,95600.0,11.67,11.65,0,,,
KW,2016-05-13,11.8,252745.0,12.0,11.8,2,-0.2263,1.0,0.0
KW,2016-05-17,11.65,62119.0,11.65,11.65,1,,,
KW,2016-05-18,11.65,60957.0,11.65,11.65,0,,,
KW,2016-05-19,11.52,4000.0,11.52,11.52,0,,,
KW,2016-05-24,11.57,4000.0,11.65,11.52,2,,,
KW,2016-05-25,11.78,2728.0,11.8,11.75,0,,,
KW,2016-05-26,11.8,5572.0,11.8,11.8,0,,,
KW,2016-05-27,11.55,2782.0,11.55,11.55,0,,,
KW,2016-05-30,11.75,1468.0,11.8,11.6,0,,,
KW,2016-05-31,11.8,1690.0,11.8,11.8,0,,,
KW,2016-06-02,11.78,3310.0,11.78,11.78,1,,,
KW,2016-06-03,11.8,2321.0,11.8,11.8,0,,,
KW,2016-06-06,12.14,23106.0,12.25,12.0,0,,,
KW,2016-06-07,12.03,9975.0,12.25,12.0,0,,,
KW,2016-06-09,12.01,29512.0,12.03,12.0,1,,,
KW,2016-06-10,12.03,12925.0,12.03,12.03,0,,,
KW,2016-06-13,12.5,540.0,12.5,12.5,0,,,
KW,2016-06-14,12.5,5060.0,12.5,12.5,0,,,
KW,2016-06-15,13.0,100.0,13.0,13.0,0,,,
KW,2016-06-16,13.0,3800.0,13.0,13.0,0,-0.2263,0.0,0.0
KW,2016-06-17,13.0,650.0,13.0,13.0,0,,,
