Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
LASF,2016-01-04,3.87,50001.0,3.9,3.71,0,,,
LASF,2016-01-05,3.94,64737.0,4.0,3.9,0,0.4588,0.0,1.0
LASF,2016-01-06,3.95,4200.0,3.95,3.95,0,,,
LASF,2016-01-07,4.06,55598.0,4.11,4.0,0,,,
LASF,2016-01-08,5.0,153000.0,5.01,5.0,0,,,
LASF,2016-01-11,5.07,445308.0,5.75,5.0,0,,,
LASF,2016-01-12,5.05,412599.0,5.5,4.99,0,,,
LASF,2016-01-13,5.0,378257.0,5.05,4.99,0,,,
LASF,2016-01-14,4.75,136826.0,5.0,4.45,0,,,
LASF,2016-01-15,4.3,334168.0,4.7,4.12,0,,,
LASF,2016-01-18,4.23,176544.0,4.3,4.06,0,,,
LASF,2016-01-19,4.07,196759.0,4.24,4.0,0,,,
LASF,2016-01-20,4.07,184400.0,4.24,4.0,0,,,
LASF,2016-01-21,4.14,278988.0,4.15,4.1,0,,,
LASF,2016-01-22,4.29,117081.0,4.75,4.0,0,,,
LASF,2016-01-25,4.28,236561.0,4.29,4.14,0,,,
LASF,2016-01-26,4.05,291225.0,4.14,4.0,0,,,
LASF,2016-01-27,3.99,67025.0,4.05,3.9,0,,,
LASF,2016-01-28,4.0,98302.0,4.0,4.0,0,,,
LASF,2016-01-29,3.9,166857.0,4.0,3.7,0,,,
LASF,2016-02-01,4.12,59100.0,4.14,4.0,0,,,
LASF,2016-02-02,4.16,9309.0,4.2,4.12,0,,,
LASF,2016-02-03,4.04,87291.0,4.16,4.0,0,,,
LASF,2016-02-04,4.14,49260.0,4.16,4.09,0,,,
LASF,2016-02-05,4.18,72150.0,4.25,4.16,0,0.0,1.0,0.0
LASF,2016-02-08,4.14,225203.0,4.25,4.01,0,,,
LASF,2016-02-09,4.07,214529.0,4.2,4.01,0,,,
LASF,2016-02-11,3.39,658883.0,4.19,3.0,1,,,
LASF,2016-02-12,3.14,1198671.0,3.6,3.0,0,,,
LASF,2016-02-15,3.69,2528860.0,3.7,3.5,0,,,
LASF,2016-02-16,3.62,39711.0,3.75,3.5,0,,,
LASF,2016-02-17,3.65,65300.0,3.8,3.52,0,,,
LASF,2016-02-18,3.5,23307.0,3.5,3.49,0,0.4588,0.0,1.0
LASF,2016-02-19,3.26,107725.0,3.5,3.1,0,,,
LASF,2016-02-22,3.15,201805.0,3.5,3.0,0,,,
LASF,2016-02-23,3.36,351480.0,3.5,3.1,0,0.4588,0.0,1.0
LASF,2016-02-24,3.08,279491.0,3.2,2.95,0,,,
LASF,2016-02-25,3.23,433175.0,3.27,3.2,0,,,
LASF,2016-02-26,3.23,140450.0,3.25,3.2,0,,,
LASF,2016-02-29,3.21,45300.0,3.23,3.2,0,,,
LASF,2016-03-01,3.1,22622.0,3.15,3.0,0,,,
LASF,2016-03-02,3.08,30096.0,3.2,3.0,0,,,
LASF,2016-03-03,3.08,30250.0,3.1,3.01,0,,,
LASF,2016-03-04,3.02,280642.0,3.1,3.0,0,0.4588,0.0,1.0
LASF,2016-03-07,3.04,31275.0,3.06,3.02,0,,,
LASF,2016-03-08,3.01,53279.0,3.05,2.95,0,0.4588,0.0,1.0
LASF,2016-03-09,3.01,600.0,3.01,3.01,0,,,
LASF,2016-03-10,3.03,24700.0,3.05,3.01,0,,,
LASF,2016-03-11,3.05,161804.0,3.1,3.0,0,,,
LASF,2016-03-14,3.0,90849.0,3.01,3.0,0,,,
LASF,2016-03-15,3.01,23500.0,3.01,3.01,0,,,
LASF,2016-03-16,3.05,35483.0,3.1,3.01,0,,,
LASF,2016-03-17,3.01,78381.0,3.03,3.0,0,,,
LASF,2016-03-18,3.01,33785.0,3.03,3.0,0,,,
LASF,2016-03-21,3.01,134243.0,3.03,3.0,0,,,
LASF,2016-03-22,3.01,272427.0,3.03,3.0,0,,,
LASF,2016-03-23,3.01,8254.0,3.03,3.0,0,,,
LASF,2016-03-24,2.99,113654.0,3.03,2.85,0,,,
LASF,2016-03-29,3.01,9280.0,3.03,3.0,2,,,
LASF,2016-03-30,2.72,52600.0,3.0,2.65,0,,,
LASF,2016-03-31,2.71,91755.0,3.0,2.65,0,,,
LASF,2016-04-01,3.0,7077.0,3.0,3.0,0,,,
LASF,2016-04-04,2.91,9121.0,3.0,2.75,0,,,
LASF,2016-04-05,2.99,16900.0,3.0,2.75,0,,,
LASF,2016-04-06,2.86,37883.0,3.0,2.82,0,,,
LASF,2016-04-07,3.0,1700.0,3.0,3.0,0,,,
LASF,2016-04-08,3.0,128901.0,3.03,2.95,0,,,
LASF,2016-04-11,3.0,127872.0,3.0,3.0,0,,,
LASF,2016-04-12,3.0,17962.0,3.0,2.96,0,,,
LASF,2016-04-13,2.94,40889.0,3.0,2.9,0,0.4588,0.0,1.0
LASF,2016-04-14,2.8,32817.0,3.0,2.62,0,,,
LASF,2016-04-15,2.62,46756.0,2.63,2.62,0,,,
LASF,2016-04-18,3.03,78664.0,3.03,3.03,0,,,
LASF,2016-04-19,3.03,288330.0,3.03,3.0,0,,,
LASF,2016-04-20,2.99,4000.0,3.0,2.95,0,0.4588,0.0,1.0
LASF,2016-04-21,3.03,223229.0,3.03,2.99,0,,,
LASF,2016-04-22,3.03,117447.0,3.03,3.03,0,,,
LASF,2016-04-25,3.02,347500.0,3.03,3.01,0,,,
LASF,2016-04-26,3.0,43200.0,3.02,3.0,0,,,
LASF,2016-04-27,3.09,1493865.0,3.1,3.03,0,,,
LASF,2016-04-28,3.01,1397376.0,3.2,3.0,0,,,
LASF,2016-04-29,3.02,569195.0,3.27,3.0,0,,,
LASF,2016-05-02,3.36,25585.0,3.4,3.02,0,,,
LASF,2016-05-03,3.49,120661.0,3.5,3.25,0,,,
LASF,2016-05-04,3.5,218990.0,3.79,3.4,0,,,
LASF,2016-05-05,3.49,43670.0,3.5,3.49,0,,,
LASF,2016-05-06,3.43,178184.0,3.47,3.3,0,,,
LASF,2016-05-09,3.49,38362.0,3.49,3.49,0,,,
LASF,2016-05-10,3.49,13000.0,3.49,3.49,0,,,
LASF,2016-05-11,3.49,132560.0,3.5,3.48,0,,,
LASF,2016-05-12,3.49,175000.0,3.55,3.48,0,,,
LASF,2016-05-13,3.49,15715.0,3.55,3.45,0,,,
LASF,2016-05-16,3.5,49843.0,3.5,3.49,0,,,
LASF,2016-05-17,3.38,39926.0,3.45,3.2,0,,,
LASF,2016-05-18,3.32,220955.0,3.47,3.11,0,,,
LASF,2016-05-19,3.15,14400.0,3.15,3.15,0,,,
LASF,2016-05-20,3.35,17866.0,3.35,3.35,0,,,
LASF,2016-05-24,3.24,12700.0,3.3,3.2,1,,,
LASF,2016-05-25,3.29,391866.0,3.3,3.1,0,,,
LASF,2016-05-26,3.29,2800.0,3.29,3.29,0,,,
LASF,2016-05-27,3.3,20000.0,3.3,3.3,0,,,
LASF,2016-05-30,3.16,315995.0,3.3,3.15,0,,,
LASF,2016-06-01,3.21,338355.0,3.3,3.1,1,0.7351,1.0,0.0
LASF,2016-06-02,3.34,5979.0,3.34,3.34,0,,,
LASF,2016-06-03,3.17,167400.0,3.3,3.13,0,,,
LASF,2016-06-06,3.25,257296.0,3.3,3.14,0,,,
LASF,2016-06-07,3.15,1108325.0,3.2,3.15,0,0.4588,0.0,1.0
LASF,2016-06-08,3.16,195440.0,3.17,3.16,0,0.4767,0.0,0.0
LASF,2016-06-09,3.16,500.0,3.16,3.16,0,,,
LASF,2016-06-10,3.21,38500.0,3.44,3.2,0,,,
LASF,2016-06-13,3.4,44000.0,3.4,3.4,0,,,
LASF,2016-06-14,3.4,30212.0,3.4,3.4,0,,,
LASF,2016-06-15,3.4,2075748.0,3.44,3.36,0,,,
LASF,2016-06-16,3.4,20188.0,3.41,3.35,0,,,
LASF,2016-06-17,3.44,44200.0,3.44,3.44,0,,,
LASF,2016-06-20,3.43,79427.0,3.44,3.4,0,0.0772,0.0,0.0
LASF,2016-06-21,3.42,7850.0,3.44,3.35,0,,,
LASF,2016-06-22,3.43,216475.0,3.44,3.4,0,,,
LASF,2016-06-24,3.42,321690.0,3.43,3.39,1,0.29600000000000004,0.0,0.0
LASF,2016-06-27,3.5,385735.0,3.5,3.4,0,,,
LASF,2016-06-28,3.49,800.0,3.49,3.49,0,,,
LASF,2016-06-30,3.49,33527.0,3.49,3.45,1,,,
LASF,2016-07-01,3.45,2713.0,3.45,3.45,0,,,
LASF,2016-07-04,3.38,25341.0,3.45,3.2,0,,,
LASF,2016-07-05,3.35,10098.0,3.42,3.2,0,,,
LASF,2016-07-06,3.41,64000.0,3.42,3.39,0,,,
LASF,2016-07-07,3.42,5200.0,3.42,3.35,0,,,
LASF,2016-07-08,3.29,177758.0,3.35,3.22,0,,,
LASF,2016-07-11,3.14,130783.0,3.29,3.14,0,,,
LASF,2016-07-12,3.38,30000.0,3.4,3.38,0,,,
LASF,2016-07-13,3.33,24200.0,3.4,3.3,0,,,
LASF,2016-07-14,3.36,44000.0,3.39,3.35,0,,,
LASF,2016-07-15,3.36,41389.0,3.4,3.35,0,,,
