Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
LASM,2016-01-04,3.52,170662.0,3.58,3.5,0,,,
LASM,2016-01-05,3.56,388215.0,3.6,3.5,0,,,
LASM,2016-01-06,3.57,1483881.0,3.6,3.46,0,,,
LASM,2016-01-07,3.65,349634.0,3.8,3.53,0,,,
LASM,2016-01-08,4.12,7260133.0,4.2,3.85,0,,,
LASM,2016-01-11,4.37,318785.0,4.6,4.15,0,,,
LASM,2016-01-12,5.02,2287065.0,5.08,4.85,0,,,
LASM,2016-01-13,5.12,1932125.0,5.25,5.0,0,,,
LASM,2016-01-14,5.02,609897.0,5.25,4.74,0,,,
LASM,2016-01-15,5.01,1028935.0,5.1,4.8,0,,,
LASM,2016-01-18,4.97,353515.0,5.0,4.9,0,,,
LASM,2016-01-19,5.0,245720.0,5.07,4.96,0,,,
LASM,2016-01-20,4.99,300316.0,5.0,4.85,0,,,
LASM,2016-01-21,4.94,358622.0,5.0,4.85,0,,,
LASM,2016-01-22,4.84,492259.0,5.0,4.5,0,,,
LASM,2016-01-25,4.85,258279.0,5.0,4.8,0,,,
LASM,2016-01-26,4.96,155178.0,5.0,4.84,0,,,
LASM,2016-01-27,4.99,285652.0,5.0,4.95,0,,,
LASM,2016-01-28,4.54,651154.0,5.0,3.9,0,,,
LASM,2016-01-29,4.85,484867.0,5.0,4.5,0,,,
LASM,2016-02-01,4.97,311557.0,5.0,4.55,0,,,
LASM,2016-02-02,5.0,1035846.0,5.0,4.85,0,,,
LASM,2016-02-03,4.93,434275.0,5.0,4.8,0,,,
LASM,2016-02-04,5.0,250166.0,5.0,4.9,0,0.0,0.0,0.0
LASM,2016-02-05,4.81,444466.0,5.0,4.5,0,,,
LASM,2016-02-08,4.97,72166.0,5.0,4.81,0,,,
LASM,2016-02-09,5.0,172310.0,5.1,4.95,0,,,
LASM,2016-02-11,4.95,183822.0,5.0,4.83,1,,,
LASM,2016-02-12,4.96,349779.0,5.1,4.9,0,,,
LASM,2016-02-15,4.96,4744503.0,5.0,4.0,0,,,
LASM,2016-02-16,4.69,114310.0,4.95,4.25,0,,,
LASM,2016-02-17,4.85,53450.0,4.99,4.45,0,,,
LASM,2016-02-18,4.71,31622.0,4.85,4.6,0,,,
LASM,2016-02-19,4.39,107788.0,4.6,4.2,0,,,
LASM,2016-02-22,4.1,124496.0,4.5,3.58,0,,,
LASM,2016-02-23,3.78,533904.0,4.05,3.7,0,,,
LASM,2016-02-24,3.82,297431.0,4.05,3.7,0,-0.0258,0.0,0.0
LASM,2016-02-25,3.7,825573.0,4.05,3.61,0,0.4019,0.0,0.0
LASM,2016-02-26,3.99,1040376.0,4.35,3.7,0,,,
LASM,2016-02-29,4.12,322957.0,4.4,4.0,0,,,
LASM,2016-03-01,4.05,118104.0,4.15,4.0,0,,,
LASM,2016-03-02,4.1,1077383.0,4.2,4.0,0,,,
LASM,2016-03-03,4.04,96986.0,4.35,4.0,0,,,
LASM,2016-03-04,4.03,163393.0,4.2,4.0,0,,,
LASM,2016-03-07,4.12,457028.0,4.4,3.86,0,,,
LASM,2016-03-08,4.05,271206.0,4.35,4.0,0,,,
LASM,2016-03-09,3.83,413770.0,4.05,3.81,0,,,
LASM,2016-03-10,3.52,7880027.0,4.0,3.5,0,,,
