Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
MDS,2016-01-06,3.55,2000.0,3.55,3.55,0,,,
MDS,2016-01-07,3.55,5000.0,3.55,3.55,0,,,
MDS,2016-01-08,3.3,4000.0,3.3,3.3,0,,,
MDS,2016-01-11,3.3,47644.0,3.33,3.3,0,,,
MDS,2016-01-12,3.11,128000.0,3.25,3.11,0,,,
MDS,2016-01-13,3.29,54500.0,3.3,3.2,0,,,
MDS,2016-01-14,3.3,6322.0,3.3,3.3,0,,,
MDS,2016-01-15,3.3,170000.0,3.3,3.3,0,,,
MDS,2016-01-18,3.09,211500.0,3.11,3.0,0,,,
MDS,2016-01-19,3.55,30574.0,3.55,3.55,0,,,
MDS,2016-01-20,3.55,870.0,3.55,3.55,0,,,
MDS,2016-01-22,3.55,1000.0,3.55,3.55,1,,,
MDS,2016-01-25,3.55,7500.0,3.55,3.55,0,,,
MDS,2016-01-26,3.18,8250.0,3.2,3.15,0,,,
MDS,2016-01-27,3.23,57034.0,3.5,3.2,0,,,
MDS,2016-01-28,3.28,30716.0,3.5,3.23,0,,,
MDS,2016-02-01,3.57,215200.0,3.58,3.55,1,,,
MDS,2016-02-02,3.57,4000.0,3.57,3.57,0,,,
MDS,2016-02-03,3.55,30430.0,3.55,3.55,0,,,
MDS,2016-02-04,3.55,34200.0,3.55,3.55,0,,,
MDS,2016-02-05,3.55,8700.0,3.55,3.55,0,,,
MDS,2016-02-11,3.52,30000.0,3.5499999999999994,3.5,3,,,
MDS,2016-02-12,3.5,100000.0,3.5,3.5,0,-0.2263,1.0,0.0
MDS,2016-02-15,3.51,48000.0,3.52,3.5,0,,,
MDS,2016-02-17,3.51,3233.0,3.51,3.51,1,,,
MDS,2016-02-18,3.51,4767.0,3.51,3.51,0,,,
MDS,2016-02-22,3.4,12000.0,3.4,3.4,1,,,
MDS,2016-02-24,3.39,477623.0,3.39,3.39,1,,,
MDS,2016-02-26,3.61,22000.0,3.7,3.5,1,,,
MDS,2016-02-29,3.5,300500.0,3.5,3.5,0,,,
MDS,2016-03-03,3.5,100.0,3.5,3.5,2,,,
MDS,2016-03-04,3.5,1000.0,3.5,3.5,0,0.0772,0.0,1.0
MDS,2016-03-07,3.5,16542.0,3.5,3.5,0,,,
MDS,2016-03-09,3.5,187.0,3.5,3.5,1,,,
MDS,2016-03-29,3.15,1750.0,3.15,3.15,13,-0.2263,0.0,0.0
MDS,2016-03-30,3.42,800.0,3.42,3.42,0,,,
MDS,2016-04-01,3.3,18000.0,3.3,3.3,1,,,
MDS,2016-04-04,3.42,1000.0,3.42,3.42,0,,,
MDS,2016-04-06,3.15,81056.0,3.3,3.0,1,0.0772,0.0,0.0
MDS,2016-04-13,3.15,1000.0,3.15,3.15,4,,,
MDS,2016-04-18,3.15,1300.0,3.15,3.15,2,,,
MDS,2016-04-19,3.15,2200.0,3.15,3.15,0,,,
MDS,2016-04-22,3.12,50000.0,3.3,3.1,2,,,
MDS,2016-04-29,3.2,30000.0,3.2,3.2,4,,,
MDS,2016-05-03,3.42,1200.0,3.42,3.42,1,,,
MDS,2016-05-04,3.17,62200.0,3.42,3.15,0,,,
MDS,2016-05-05,3.42,4000.0,3.42,3.42,0,,,
MDS,2016-05-12,3.4,519.0,3.4,3.4,4,,,
MDS,2016-05-17,3.42,7900.0,3.42,3.42,2,,,
MDS,2016-05-18,3.47,3100.0,3.5,3.42,0,,,
MDS,2016-05-19,3.48,15000.0,3.5,3.48,0,,,
MDS,2016-05-24,3.08,2519.0,3.13,2.95,2,,,
MDS,2016-05-26,2.97,37000.0,3.0,2.95,1,,,
MDS,2016-05-31,3.25,74458.0,3.25,3.0,2,0.0,1.0,0.0
MDS,2016-06-01,3.49,74876.0,3.49,3.49,0,,,
MDS,2016-06-02,3.5,5000.0,3.5,3.5,0,,,
MDS,2016-06-10,3.53,4000.0,3.53,3.53,5,,,
MDS,2016-06-17,4.0,15372.0,4.0,4.0,4,,,
MDS,2016-06-20,4.0,2000.0,4.0,4.0,0,,,
MDS,2016-06-21,3.63,53500.0,3.95,3.6,0,,,
MDS,2016-06-22,3.62,19630.0,3.63,3.53,0,,,
MDS,2016-06-23,3.5,16614.0,3.53,3.5,0,,,
MDS,2016-06-24,3.25,11500.0,3.25,3.25,0,,,
MDS,2016-06-28,3.01,300602.0,3.24,3.0,1,,,
MDS,2016-06-29,3.3,1100.0,3.3,3.3,0,,,
MDS,2016-06-30,3.37,26362.0,3.4,3.35,0,,,
MDS,2016-07-01,3.4,400.0,3.4,3.4,0,,,
MDS,2016-07-05,3.45,530.0,3.45,3.45,1,,,
MDS,2016-07-07,3.45,28000.0,3.45,3.45,1,,,
MDS,2016-07-11,3.45,2000.0,3.45,3.45,1,,,
MDS,2016-07-12,3.09,12232.0,3.45,3.05,0,,,
MDS,2016-07-14,3.1,2800.0,3.1,3.1,1,,,
MDS,2016-07-19,3.1,11900.0,3.1,3.1,2,,,
MDS,2016-07-20,3.49,2743.0,3.49,3.49,0,,,
MDS,2016-07-21,3.49,1885.0,3.5,3.49,0,,,
MDS,2016-07-22,3.55,7000.0,3.55,3.55,0,,,
MDS,2016-07-27,4.0,389454.0,4.0,3.95,2,,,
MDS,2016-07-28,3.55,18106.0,3.55,3.55,0,,,
MDS,2016-07-29,3.55,19698.0,3.55,3.5,0,-0.4417,1.0,0.0
MDS,2016-08-04,3.15,20000.0,3.15,3.15,3,0.0,1.0,0.0
MDS,2016-08-09,3.55,62239.0,3.55,3.54,2,,,
MDS,2016-08-11,3.5,206820.0,3.55,3.5,1,-0.2263,0.0,0.0
MDS,2016-08-12,3.5,83038.0,3.7,3.5,0,,,
MDS,2016-08-15,3.5,2700.0,3.5,3.5,0,,,
MDS,2016-08-16,3.5,28247.0,3.5,3.5,0,,,
MDS,2016-08-19,3.28,28150.0,3.5,3.25,2,,,
MDS,2016-08-24,3.15,65000.0,3.15,3.15,2,0.0,1.0,0.0
MDS,2016-08-25,3.06,4000.0,3.06,3.06,0,,,
MDS,2016-08-26,3.09,28207.0,3.09,3.08,0,-0.0258,0.0,0.0
MDS,2016-08-31,3.5,75000.0,3.5,3.5,2,,,
MDS,2016-09-01,3.2,4000.0,3.2,3.2,0,,,
MDS,2016-09-02,3.55,12130.0,3.55,3.55,0,,,
MDS,2016-09-05,3.55,1528.0,3.55,3.55,0,,,
MDS,2016-09-12,3.55,117630.0,3.69,3.55,4,,,
MDS,2016-09-13,3.66,27067.0,4.0,3.55,0,,,
MDS,2016-09-14,4.01,40933.0,4.4,3.85,0,,,
MDS,2016-09-15,4.0,1063.0,4.0,4.0,0,,,
MDS,2016-09-16,3.95,53000.0,4.0,3.94,0,,,
MDS,2016-09-19,4.0,129000.0,4.0,4.0,0,,,
