Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
MEEG,2017-02-08,3.43,40985.0,2.61,2.61,0,,,
MEEG,2017-02-09,3.7,100.0,3.7,3.7,0,,,
MEEG,2017-02-10,4.09,15722362.0,4.75,4.05,0,,,
MEEG,2017-02-13,4.09,537458.0,5.0,4.6,0,,,
MEEG,2017-02-14,4.69,757244.0,5.0,4.5,0,,,
MEEG,2017-02-15,4.51,696685.0,4.75,4.3,0,,,
MEEG,2017-02-16,4.47,592737.0,4.8,4.3,0,,,
MEEG,2017-02-17,4.56,420952.0,4.9,4.5,0,,,
MEEG,2017-02-20,4.82,59631.0,5.0,4.6,0,,,
MEEG,2017-02-21,4.75,251120.0,5.0,4.6,0,,,
MEEG,2017-02-22,4.81,181750.0,4.86,4.8,0,,,
MEEG,2017-02-23,4.85,99074.0,5.0,4.81,0,,,
MEEG,2017-02-24,4.84,263064.0,5.5,4.71,0,,,
MEEG,2017-02-27,4.79,13721.0,5.0,4.7,0,,,
MEEG,2017-02-28,4.77,48813.0,4.8,4.75,0,,,
MEEG,2017-03-02,4.82,25964.0,5.0,4.78,1,,,
MEEG,2017-03-03,4.83,17862.0,5.0,4.77,0,,,
MEEG,2017-03-06,5.0,14381.0,5.0,5.0,0,,,
MEEG,2017-03-07,5.0,184898.0,5.0,5.0,0,,,
MEEG,2017-03-08,5.0,137390.0,5.1,5.0,0,,,
MEEG,2017-03-09,5.03,67852.0,5.1,5.0,0,,,
MEEG,2017-03-10,5.0,9000.0,5.0,5.0,0,,,
MEEG,2017-03-13,4.86,126775.0,5.0,4.5,0,,,
MEEG,2017-03-14,4.91,20038.0,5.0,4.6,0,,,
MEEG,2017-03-15,4.9,30728.0,4.95,4.86,0,,,
MEEG,2017-03-16,4.66,30090.0,4.8,4.5,0,,,
MEEG,2017-03-17,4.42,348376.0,4.89,4.36,0,,,
MEEG,2017-03-20,4.74,80817.0,5.0,4.6,0,,,
MEEG,2017-03-21,4.42,15004.0,4.5,4.4,0,,,
MEEG,2017-03-22,4.51,43992.0,4.51,4.51,0,,,
