Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
MPCCEL,2019-02-13,130.0,200.0,130.0,130.0,0,,,
MPCCEL,2019-02-14,130.0,300.0,130.0,130.0,0,,,
MPCCEL,2019-03-11,130.0,100.0,130.0,130.0,16,,,
MPCCEL,2019-03-21,130.6,100.0,130.6,130.6,7,,,
MPCCEL,2019-04-26,130.0,2692300.0,130.0,130.0,25,,,
MPCCEL,2019-06-06,130.1,1530.0,130.1,130.1,28,,,
MPCCEL,2019-06-07,130.1,100.0,130.1,130.1,0,,,
MPCCEL,2019-06-20,130.1,200.0,130.1,130.1,8,,,
MPCCEL,2019-06-21,130.1,100.0,130.1,130.1,0,0.7964,0.0,0.0
MPCCEL,2019-07-25,130.0,100.0,130.0,130.0,23,,,
MPCCEL,2019-08-21,126.0,500.0,126.0,126.0,18,,,
MPCCEL,2019-08-22,126.0,760.0,126.0,126.0,0,0.4404,0.0,0.0
MPCCEL,2019-08-27,127.0,240.0,127.0,127.0,2,,,
MPCCEL,2019-09-02,130.75,2090.0,132.0,130.0,3,0.5984,0.0,0.0
MPCCEL,2019-09-12,153.06,520.0,153.06,153.06,7,,,
MPCCEL,2019-10-17,190.0,100.0,190.0,190.0,24,,,
MPCCEL,2019-10-25,197.87,1054.0,201.0,190.0,5,0.4404,0.0,0.0
MPCCEL,2019-10-28,220.0,100.0,220.0,220.0,0,,,
MPCCEL,2019-10-29,248.4,564.0,250.0,241.0,0,,,
MPCCEL,2019-10-30,253.66,546.0,260.0,250.0,0,,,
MPCCEL,2019-10-31,260.0,500.0,260.0,260.0,0,0.0,1.0,0.0
MPCCEL,2019-11-01,260.0,1780.0,260.0,260.0,0,,,
MPCCEL,2019-11-04,259.25,1990.0,275.0,250.0,0,,,
MPCCEL,2019-11-05,235.91,822.0,260.0,230.0,0,0.0,0.0,0.0
MPCCEL,2019-11-06,250.89,664.0,255.0,240.0,0,,,
MPCCEL,2019-11-07,252.94,1745.0,255.0,251.0,0,,,
MPCCEL,2019-11-08,246.83,504.0,251.0,230.0,0,,,
MPCCEL,2019-11-11,230.0,100.0,230.0,230.0,0,,,
MPCCEL,2019-11-20,229.88999999999996,900.0,230.0,229.0,6,,,
MPCCEL,2019-11-27,229.5,304.0,229.5,229.5,4,,,
MPCCEL,2019-11-28,230.0,797.0,230.0,230.0,0,,,
MPCCEL,2019-12-05,230.0,280.0,230.0,230.0,4,,,
MPCCEL,2019-12-11,200.0,150.0,200.0,200.0,3,,,
MPCCEL,2019-12-12,200.0,100.0,200.0,200.0,0,,,
MPCCEL,2019-12-13,200.0,250.0,200.0,200.0,0,,,
MPCCEL,2019-12-16,200.0,100.0,200.0,200.0,0,0.4404,0.0,0.0
MPCCEL,2019-12-17,200.0,300.0,200.0,200.0,0,,,
MPCCEL,2019-12-18,200.747384,669.0,205.0,200.0,0,,,
MPCCEL,2019-12-19,208.896552,116.0,210.0,202.0,0,,,
MPCCEL,2019-12-20,231.0,175.0,231.0,231.0,0,,,
MPCCEL,2019-12-23,209.269537,627.0,231.0,195.0,0,,,
MPCCEL,2019-12-24,210.0,100.0,210.0,210.0,0,0.7003,0.0,0.0
MPCCEL,2019-12-31,210.0,219.0,210.0,210.0,4,,,
MPCCEL,2020-01-03,210.0,740.0,210.0,210.0,2,,,
MPCCEL,2020-01-07,210.0,115.0,210.0,210.0,1,,,
MPCCEL,2020-01-13,215.0,100.0,215.0,215.0,3,0.7003,0.0,0.0
MPCCEL,2020-01-17,231.0,100.0,231.0,231.0,3,,,
MPCCEL,2020-01-28,230.0,230.0,230.0,230.0,6,,,
MPCCEL,2020-01-29,208.0,291.0,208.0,208.0,0,,,
