Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
MUSIC,2016-01-04,0.39,256277.0,0.4,0.39,0,,,
MUSIC,2016-01-05,0.4,147441.0,0.4,0.39,0,,,
MUSIC,2016-01-06,0.43,64290.0,0.43,0.43,0,,,
MUSIC,2016-01-07,0.45,114000.0,0.45,0.45,0,,,
MUSIC,2016-01-08,0.5,20500.0,0.51,0.5,0,,,
MUSIC,2016-01-11,0.5,185344.0,0.5,0.47,0,,,
MUSIC,2016-01-12,0.48,29900.0,0.5,0.47,0,,,
MUSIC,2016-01-13,0.49,336500.0,0.49,0.48,0,,,
MUSIC,2016-01-14,0.49,4200.0,0.49,0.49,0,,,
MUSIC,2016-01-15,0.49,7000.0,0.49,0.49,0,,,
MUSIC,2016-01-18,0.49,25000.0,0.49,0.49,0,,,
MUSIC,2016-01-19,0.49,27516.0,0.49,0.49,0,,,
MUSIC,2016-01-20,0.49,10000.0,0.49,0.49,0,,,
MUSIC,2016-01-21,0.49,48850.0,0.49,0.49,0,,,
MUSIC,2016-01-25,0.49,35000.0,0.49,0.49,1,,,
MUSIC,2016-01-29,0.49,9935.0,0.49,0.49,3,,,
MUSIC,2016-02-02,0.49,4620.0,0.49,0.49,1,,,
MUSIC,2016-02-04,0.49,3370.0,0.49,0.49,1,,,
MUSIC,2016-02-05,0.48,12118.0,0.49,0.48,0,,,
MUSIC,2016-02-08,0.49,40000.0,0.49,0.49,0,,,
MUSIC,2016-02-09,0.49,3000.0,0.49,0.49,0,,,
MUSIC,2016-02-11,0.47,116777.0,0.49,0.47,1,,,
MUSIC,2016-02-15,0.47,45223.0,0.47,0.45,1,,,
MUSIC,2016-02-17,0.45,6277.0,0.45,0.45,1,,,
MUSIC,2016-02-22,0.43,5000.0,0.43,0.43,2,,,
MUSIC,2016-02-23,0.43,5153.0,0.43,0.43,0,,,
MUSIC,2016-02-24,0.43,5637.0,0.43,0.43,0,,,
MUSIC,2016-02-26,0.45,100000.0,0.45,0.45,1,,,
MUSIC,2016-02-29,0.45,20636.0,0.45,0.45,0,,,
MUSIC,2016-03-04,0.45,50000.0,0.45,0.45,3,,,
MUSIC,2016-03-07,0.45,6500.0,0.45,0.45,0,,,
MUSIC,2016-03-09,0.43,6770.0,0.43,0.43,1,,,
MUSIC,2016-03-10,0.42,9000.0,0.43,0.42,0,,,
MUSIC,2016-03-29,0.36,5555.0,0.4,0.36,12,,,
MUSIC,2016-03-31,0.4,50000.0,0.4,0.4,1,,,
MUSIC,2016-04-01,0.37,4000.0,0.37,0.37,0,,,
MUSIC,2016-04-04,0.33,6600.0,0.33,0.33,0,,,
MUSIC,2016-04-05,0.33,5000.0,0.33,0.33,0,,,
MUSIC,2016-04-07,0.33,8700.0,0.33,0.33,1,,,
MUSIC,2016-04-11,0.33,1000.0,0.33,0.33,1,0.2023,1.0,0.0
MUSIC,2016-04-15,0.33,2000.0,0.33,0.33,3,,,
MUSIC,2016-04-18,0.33,10000.0,0.33,0.33,0,,,
MUSIC,2016-04-25,0.32,1000.0,0.32,0.32,4,,,
MUSIC,2016-04-26,0.32,29019.0,0.32,0.32,0,,,
MUSIC,2016-04-27,0.32,106324.0,0.35,0.32,0,,,
MUSIC,2016-06-02,0.34,53814091.0,0.34,0.34,25,0.0,1.0,0.0
MUSIC,2016-06-03,0.36,29000.0,0.36,0.36,0,,,
MUSIC,2016-06-07,0.4,1000.0,0.4,0.4,1,,,
MUSIC,2016-06-08,0.43,18000.0,0.43,0.43,0,,,
MUSIC,2016-06-09,0.43,26000.0,0.43,0.41,0,,,
MUSIC,2016-06-10,0.43,20000.0,0.43,0.43,0,,,
MUSIC,2016-06-13,0.41,30000.0,0.41,0.41,0,,,
