Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
PAL,2016-02-09,87.0,1450.0,87.0,87.0,0,,,
PAL,2016-02-25,74.0,100.0,74.0,74.0,11,,,
PAL,2016-04-13,85.01,150.0,85.01,85.01,33,,,
PAL,2016-04-25,95.0,402.0,95.0,95.0,7,,,
PAL,2016-05-26,149.74,1950.0,150.0,149.0,22,,,
PAL,2016-06-02,165.0,7058.0,165.0,165.0,4,0.6705,0.0,1.0
PAL,2016-09-08,170.0,500.0,170.0,170.0,69,,,
PAL,2016-09-22,195.0,500.0,195.0,195.0,9,,,
PAL,2017-03-23,200.0,100.0,200.0,200.0,129,,,
PAL,2017-03-28,200.0,900.0,200.0,200.0,2,,,
PAL,2017-04-19,230.0,100.0,230.0,230.0,15,,,
PAL,2017-06-06,340.0,103.0,340.0,340.0,33,,,
PAL,2017-06-08,340.0,1167.0,340.0,340.0,1,,,
PAL,2017-06-21,390.0,200.0,390.0,390.0,8,,,
PAL,2017-06-22,390.0,197.0,390.0,390.0,0,,,
PAL,2017-06-23,498.0,888.0,498.0,498.0,0,0.3612,0.0,0.0
PAL,2017-06-29,500.0,586.0,500.0,500.0,3,,,
PAL,2017-07-06,550.0,143.0,550.0,550.0,4,,,
PAL,2017-12-15,560.0,129.0,560.0,560.0,115,,,
PAL,2018-02-26,560.0,100.0,560.0,560.0,50,,,
PAL,2018-03-06,560.0,225.0,560.0,560.0,5,,,
PAL,2018-03-08,560.0,150.0,560.0,560.0,1,,,
PAL,2018-03-14,1100.0,200.0,1100.0,1100.0,3,,,
PAL,2018-03-16,1300.0,300.0,1300.0,1300.0,1,,,
PAL,2018-03-28,1000.0,250.0,1000.0,1000.0,7,,,
PAL,2018-03-29,1000.0,642.0,1000.0,1000.0,0,,,
PAL,2018-04-03,1100.0,100.0,1100.0,1100.0,2,,,
PAL,2018-04-04,1204.9,286.0,1300.0,1100.0,0,,,
PAL,2018-04-05,900.0,200.0,900.0,900.0,0,,,
PAL,2018-04-06,815.48,252.0,900.0,750.0,0,,,
PAL,2018-04-09,770.93,300.0,800.0,751.0,0,,,
PAL,2018-04-17,788.74,636.0,800.0,780.0,5,,,
PAL,2018-04-18,780.0,304.0,780.0,780.0,0,,,
PAL,2018-05-01,1000.0,100.0,1000.0,1000.0,8,,,
PAL,2018-05-11,1300.0,104.0,1300.0,1300.0,7,,,
PAL,2018-05-14,1425.0,200.0,1500.0,1350.0,0,0.0,1.0,0.0
PAL,2018-11-14,1000.0,100.0,1000.0,1000.0,131,0.0,1.0,0.0
PAL,2018-11-15,1000.0,100.0,1000.0,1000.0,0,,,
PAL,2018-11-28,1000.0,200.0,1000.0,1000.0,8,,,
PAL,2018-11-29,1300.0,100.0,1300.0,1300.0,0,,,
PAL,2018-12-03,1300.0,100.0,1300.0,1300.0,1,,,
PAL,2018-12-04,1450.0,100.0,1450.0,1450.0,0,,,
PAL,2019-01-17,1450.0,754.0,1450.0,1450.0,31,0.2732,0.0,0.0
PAL,2019-04-23,1250.0,120.0,1250.0,1250.0,67,,,
