Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
PJX,2016-07-06,12.54,8500.0,12.55,12.05,0,0.128,0.0,0.0
PJX,2016-07-07,12.74,69949.0,13.5,12.6,0,,,
PJX,2016-07-08,13.78,50950.0,14.0,13.5,0,,,
PJX,2016-07-11,13.22,70533.0,13.7,13.0,0,0.29600000000000004,0.0,0.0
PJX,2016-07-12,12.84,108852.0,13.0,12.75,0,,,
PJX,2016-07-13,12.76,65502.0,13.0,12.75,0,,,
PJX,2016-07-14,12.66,172701.0,13.0,12.54,0,,,
PJX,2016-07-15,12.86,15700.0,13.0,12.66,0,,,
PJX,2016-07-18,12.9,6700.0,12.9,12.9,0,,,
PJX,2016-07-19,12.9,321.0,12.9,12.9,0,,,
PJX,2016-07-21,12.9,10400.0,12.9,12.9,1,,,
PJX,2016-07-22,12.9,16900.0,12.9,12.9,0,0.0,0.0,0.0
PJX,2016-07-25,12.9,1015.0,12.9,12.9,0,,,
PJX,2016-07-26,12.9,40019.0,12.9,12.89,0,,,
PJX,2016-07-27,12.89,500.0,12.89,12.89,0,,,
PJX,2016-07-28,12.89,600.0,12.89,12.89,0,,,
PJX,2016-08-02,12.85,450.0,12.85,12.85,2,,,
PJX,2016-08-03,12.55,16155.0,12.65,12.5,0,,,
PJX,2016-08-04,12.51,5145.0,12.55,12.5,0,,,
PJX,2016-08-05,12.54,4000.0,12.55,12.5,0,,,
PJX,2016-08-08,12.12,33900.0,12.5,12.0,0,,,
PJX,2016-08-09,12.0,8026.0,12.0,12.0,0,,,
PJX,2016-08-10,12.0,560.0,12.0,12.0,0,,,
PJX,2016-08-11,12.0,12050.0,12.0,12.0,0,,,
PJX,2016-08-15,11.88,3380.0,12.0,11.0,1,,,
PJX,2016-08-18,11.49,462413.0,11.55,11.49,2,,,
PJX,2016-08-19,11.49,10455000.0,11.49,11.48,0,,,
PJX,2016-08-22,11.46,4110.0,11.5,11.4,0,,,
PJX,2016-08-23,11.49,303134.0,11.5,11.49,0,,,
PJX,2016-08-30,11.0,295.0,11.0,11.0,4,,,
PJX,2016-08-31,11.0,24571.0,11.0,11.0,0,,,
PJX,2016-09-02,11.0,59400.0,11.1,11.0,1,,,
PJX,2016-09-07,11.2,3000.0,11.4,11.0,2,,,
PJX,2016-09-08,11.0,27200.0,11.0,11.0,0,,,
PJX,2016-09-13,11.0,15450.0,11.01,11.0,2,,,
PJX,2016-09-15,11.0,2218.0,11.01,11.0,1,,,
PJX,2016-09-19,11.39,110.0,11.39,11.39,1,,,
PJX,2016-09-20,11.35,12000.0,11.39,11.3,0,-0.2263,1.0,0.0
PJX,2016-09-21,11.36,600.0,11.36,11.36,0,,,
PJX,2016-09-23,11.0,3000.0,11.0,11.0,1,,,
PJX,2016-09-26,11.01,8400.0,11.05,11.0,0,,,
PJX,2016-09-27,10.99,24700.0,11.0,10.99,0,,,
PJX,2016-10-04,11.3,1000.0,11.3,11.3,4,,,
PJX,2016-10-05,11.3,402.0,11.3,11.3,0,,,
PJX,2016-10-06,11.02,6435.0,11.1,11.0,0,,,
PJX,2016-10-12,11.06,3334455.0,11.06,11.06,3,,,
