Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
PROVEN,2016-01-04,0.229383,2348.0,0.2299,0.229,0,,,
PROVEN,2016-01-05,0.2299,18530.0,0.2299,0.2299,0,,,
PROVEN,2016-01-06,0.229808,41432.0,0.2299,0.229,0,,,
PROVEN,2016-01-07,0.228997,34600.0,0.229,0.2289,0,,,
PROVEN,2016-01-08,0.224982,36200.0,0.2289,0.215,0,,,
PROVEN,2016-01-11,0.222183,8692.0,0.2287,0.22,0,,,
PROVEN,2016-01-12,0.21815,612564.0,0.2287,0.2175,0,,,
PROVEN,2016-01-13,0.229751,523177.0,0.2298,0.2287,0,,,
PROVEN,2016-01-14,0.2299,1200.0,0.2299,0.2299,0,,,
PROVEN,2016-01-15,0.220104,40730.0,0.2299,0.22,0,,,
PROVEN,2016-01-18,0.223495,32550.0,0.2299,0.21,0,,,
PROVEN,2016-01-19,0.2299,44410.0,0.2299,0.2299,0,,,
PROVEN,2016-01-20,0.2299,52900.0,0.2299,0.2299,0,,,
PROVEN,2016-01-22,0.22,113047.0,0.22,0.22,1,,,
PROVEN,2016-01-25,0.22,16950.0,0.22,0.22,0,-0.2263,0.0,0.0
PROVEN,2016-01-26,0.22,184364.0,0.22,0.22,0,,,
PROVEN,2016-01-27,0.200295,1244550.0,0.22,0.2,0,,,
PROVEN,2016-01-28,0.22719,691400.0,0.2298,0.2,0,,,
PROVEN,2016-01-29,0.229189,927.0,0.2299,0.227,0,,,
PROVEN,2016-02-01,0.225791,77700.0,0.229,0.22,0,,,
PROVEN,2016-02-02,0.220163,151161.0,0.229,0.22,0,,,
PROVEN,2016-02-03,0.22,20380.0,0.22,0.22,0,,,
PROVEN,2016-02-04,0.22,9875.0,0.22,0.22,0,,,
PROVEN,2016-02-05,0.22,15603.0,0.22,0.22,0,,,
PROVEN,2016-02-08,0.22,22700.0,0.22,0.22,0,,,
PROVEN,2016-02-09,0.22,79600.0,0.22,0.22,0,,,
PROVEN,2016-02-12,0.22,34100.0,0.22,0.22,2,-0.2263,0.0,0.0
PROVEN,2016-02-15,0.22,119531.0,0.22,0.22,0,0.2023,0.0,0.0
PROVEN,2016-02-16,0.214055,41720.0,0.22,0.2,0,0.0772,0.0,0.0
PROVEN,2016-02-17,0.2,2000.0,0.2,0.2,0,,,
PROVEN,2016-02-18,0.2,32164.0,0.2,0.2,0,0.3612,0.0,0.0
PROVEN,2016-02-23,0.219546,67530.0,0.22,0.2,2,,,
PROVEN,2016-02-24,0.206568,262083.0,0.22,0.2,0,,,
PROVEN,2016-02-25,0.2075,500000.0,0.2075,0.2075,0,,,
PROVEN,2016-02-26,0.219901,804200.0,0.22,0.2199,0,,,
PROVEN,2016-02-29,0.21925,47300.0,0.22,0.2,0,,,
PROVEN,2016-03-01,0.22,13600.0,0.22,0.22,0,,,
PROVEN,2016-03-03,0.218484,6600.0,0.22,0.21,1,,,
PROVEN,2016-03-04,0.2175,71545.0,0.2175,0.2175,0,,,
PROVEN,2016-03-07,0.22,150.0,0.22,0.22,0,,,
PROVEN,2016-03-08,0.2,518500.0,0.2,0.2,0,,,
PROVEN,2016-03-09,0.219363,530000.0,0.2195,0.215,0,,,
PROVEN,2016-03-11,0.2,714100.0,0.2,0.2,1,,,
PROVEN,2016-03-14,0.211335,223936.0,0.2175,0.2,0,,,
PROVEN,2016-03-15,0.20328,530450.0,0.2174,0.2,0,,,
PROVEN,2016-03-16,0.21736100000000005,452650.0,0.2175,0.21,0,,,
PROVEN,2016-03-17,0.201248,232356.0,0.2099,0.2,0,,,
PROVEN,2016-03-18,0.2099,9000.0,0.2099,0.2099,0,,,
PROVEN,2016-03-21,0.209746,138420.0,0.2099,0.2097,0,,,
PROVEN,2016-03-22,0.2099,4900.0,0.2099,0.2099,0,,,
PROVEN,2016-03-23,0.209526,44050.0,0.2098,0.2095,0,,,
PROVEN,2016-03-24,0.2095,5233.0,0.2095,0.2095,0,,,
PROVEN,2016-03-29,0.2098,616313.0,0.2099,0.2097,2,,,
PROVEN,2016-03-30,0.201576,3451022.0,0.2097,0.18,0,,,
PROVEN,2016-03-31,0.18,850.0,0.18,0.18,0,,,
PROVEN,2016-04-01,0.175,501600.0,0.175,0.175,0,,,
PROVEN,2016-04-04,0.17361500000000002,11433.0,0.175,0.17,0,,,
PROVEN,2016-04-05,0.177928,295325.0,0.18,0.175,0,,,
PROVEN,2016-04-06,0.174869,112700.0,0.1749,0.1747,0,,,
PROVEN,2016-04-07,0.169429,483600.0,0.175,0.15,0,,,
PROVEN,2016-04-08,0.160019,553800.0,0.17,0.16,0,,,
PROVEN,2016-04-11,0.159975,179009.0,0.16,0.1599,0,,,
PROVEN,2016-04-12,0.159994,93200.0,0.16,0.1599,0,,,
PROVEN,2016-04-13,0.16,62418.0,0.16,0.16,0,,,
PROVEN,2016-04-14,0.16,93053.0,0.16,0.16,0,,,
PROVEN,2016-04-15,0.16,107662.0,0.16,0.16,0,,,
PROVEN,2016-04-18,0.16,400000.0,0.16,0.16,0,,,
PROVEN,2016-04-20,0.172173,108862.0,0.1751,0.1705,1,,,
PROVEN,2016-04-22,0.19,43000.0,0.19,0.19,1,,,
PROVEN,2016-04-25,0.182177,316675.0,0.1901,0.18,0,,,
PROVEN,2016-04-26,0.1801,4133.0,0.1801,0.1801,0,,,
PROVEN,2016-04-28,0.2,24500.0,0.2,0.2,1,,,
PROVEN,2016-04-29,0.2,8677.0,0.2,0.2,0,,,
PROVEN,2016-05-03,0.199956,55988.0,0.2,0.1999,1,,,
PROVEN,2016-05-04,0.2,13398.0,0.2,0.2,0,,,
PROVEN,2016-05-05,0.2,24067.0,0.2,0.2,0,,,
PROVEN,2016-05-09,0.190072,113178.0,0.2,0.19,1,,,
PROVEN,2016-05-10,0.172235,431660.0,0.19,0.1702,0,,,
PROVEN,2016-05-12,0.183878,554302.0,0.2,0.1702,1,-0.2263,0.0,0.0
PROVEN,2016-05-13,0.186367,9200.0,0.1999,0.175,0,,,
PROVEN,2016-05-16,0.199056,25980.0,0.1999,0.175,0,,,
PROVEN,2016-05-19,0.175085,21329.0,0.18,0.175,2,,,
PROVEN,2016-05-20,0.198672,49000.0,0.1999,0.175,0,,,
PROVEN,2016-05-25,0.1999,678.0,0.1999,0.1999,2,,,
PROVEN,2016-05-27,0.170062,209562.0,0.1705,0.17,1,,,
PROVEN,2016-05-30,0.190004,286857.0,0.1999,0.1899,0,0.3612,0.0,0.0
PROVEN,2016-06-01,0.1999,5000.0,0.1999,0.1999,1,0.2023,1.0,0.0
PROVEN,2016-06-02,0.179634,15993.0,0.1999,0.17,0,,,
PROVEN,2016-06-06,0.1949,29900.0,0.1949,0.1949,1,,,
PROVEN,2016-06-07,0.176749,54081.0,0.1949,0.17,0,,,
PROVEN,2016-06-10,0.1949,400.0,0.1949,0.1949,2,,,
PROVEN,2016-06-14,0.192837,13700.0,0.1948,0.19,1,,,
PROVEN,2016-06-17,0.1947,526.0,0.1947,0.1947,2,,,
PROVEN,2016-06-20,0.1947,950.0,0.1947,0.1947,0,,,
PROVEN,2016-06-21,0.18,47680.0,0.18,0.18,0,,,
