Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
PTL,2016-01-05,9.04,2916.0,9.1,9.0,0,,,
PTL,2016-01-08,10.0,66180.0,10.0,10.0,2,,,
PTL,2016-01-13,10.1,1000.0,10.1,10.1,2,0.5574,1.0,0.0
PTL,2016-01-15,10.5,57575.0,10.5,10.5,1,,,
PTL,2016-01-19,10.55,135.0,10.55,10.55,1,,,
PTL,2016-01-20,10.53,9000.0,10.53,10.53,0,,,
PTL,2016-01-21,10.55,29500.0,10.55,10.55,0,,,
PTL,2016-01-22,10.5,29482.0,10.55,10.5,0,,,
PTL,2016-01-26,11.19,33100.0,11.5,11.0,1,,,
PTL,2016-01-27,11.45,15000.0,11.45,11.45,0,,,
PTL,2016-01-28,11.49,5014.0,11.5,11.45,0,,,
PTL,2016-02-03,11.49,1000.0,11.49,11.49,3,,,
PTL,2016-02-05,11.2,2333.0,11.2,11.2,1,,,
PTL,2016-02-15,11.3,1817.0,11.3,11.3,5,,,
PTL,2016-02-18,11.31,5000.0,11.87,11.3,2,,,
PTL,2016-02-22,11.25,1719.0,11.25,11.25,1,,,
PTL,2016-02-24,11.31,45437.0,11.31,11.25,1,,,
PTL,2016-03-07,11.65,150.0,11.65,11.65,7,,,
PTL,2016-03-15,11.41,3500.0,11.65,11.31,5,,,
PTL,2016-03-17,11.31,718.0,11.31,11.31,1,,,
PTL,2016-03-23,11.31,1000.0,11.31,11.31,3,,,
PTL,2016-03-24,11.31,1177.0,11.31,11.31,0,,,
PTL,2016-03-31,11.0,1500.0,11.0,11.0,4,,,
PTL,2016-04-13,11.0,3460.0,11.0,11.0,8,0.0,1.0,0.0
PTL,2016-05-03,10.79,71000.0,10.85,10.5,13,,,
PTL,2016-05-04,10.85,35000.0,10.85,10.85,0,,,
PTL,2016-05-09,10.8,175.0,10.8,10.8,2,,,
PTL,2016-05-10,10.99,500000.0,10.99,10.8,0,,,
PTL,2016-05-12,10.55,10000.0,10.99,10.5,1,,,
PTL,2016-05-16,11.05,2000.0,11.05,11.05,1,,,
PTL,2016-05-18,11.0,17440.0,11.0,11.0,1,,,
PTL,2016-05-24,10.99,68200.0,11.0,10.9,3,,,
PTL,2016-06-13,10.99,4000.0,10.99,10.99,13,,,
PTL,2016-06-14,10.9,200.0,10.9,10.9,0,,,
PTL,2016-06-15,10.99,3700.0,10.99,10.99,0,,,
PTL,2016-06-21,11.0,6000.0,11.0,11.0,3,,,
PTL,2016-06-23,11.0,2000.0,11.0,11.0,1,,,
PTL,2016-07-14,10.86,10158.0,11.0,10.5,14,,,
PTL,2016-07-20,10.699999999999998,21351.0,11.0,10.5,3,-0.2263,0.0,0.0
PTL,2016-07-22,11.5,4000.0,11.5,11.5,1,,,
PTL,2016-08-15,12.1,123.0,12.1,12.1,15,,,
PTL,2016-08-18,14.5,13650.0,14.5,14.5,2,,,
PTL,2016-08-19,14.5,78663.0,14.5,14.5,0,,,
PTL,2016-08-23,12.1,1249.0,12.35,12.0,1,,,
PTL,2016-09-07,13.0,2000.0,13.0,13.0,10,,,
PTL,2016-09-08,14.0,3000.0,14.0,14.0,0,,,
PTL,2016-09-13,15.05,2000.0,15.05,15.05,2,,,
PTL,2016-09-15,17.5,2000.0,17.5,17.5,1,,,
PTL,2016-09-30,19.5,2000.0,19.5,19.5,10,-0.2263,0.0,0.0
PTL,2016-10-06,22.0,2000.0,22.0,22.0,3,,,
PTL,2016-10-07,24.5,150.0,24.5,24.5,0,,,
PTL,2016-10-11,24.52,76446.0,26.0,24.51,1,,,
PTL,2016-10-12,25.0,20270.0,25.0,25.0,0,,,
