Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
PURITY,2016-01-04,1.48,111500.0,1.49,1.48,0,,,
PURITY,2016-01-05,1.44,8000.0,1.48,1.42,0,,,
PURITY,2016-01-06,1.48,355700.0,1.5,1.44,0,,,
PURITY,2016-01-07,1.5,3050.0,1.5,1.5,0,,,
PURITY,2016-01-08,1.33,159245.0,1.4,1.3,0,,,
PURITY,2016-01-11,1.34,222198.0,1.46,1.2,0,,,
PURITY,2016-01-13,1.4,93375.0,1.4,1.37,1,,,
PURITY,2016-01-14,1.39,331039.0,1.4,1.3,0,,,
PURITY,2016-01-15,1.36,9753.0,1.36,1.36,0,,,
PURITY,2016-01-18,1.37,31096.0,1.4,1.36,0,,,
PURITY,2016-01-19,1.31,273000.0,1.4,1.2,0,,,
PURITY,2016-01-20,1.4,6300.0,1.4,1.4,0,,,
PURITY,2016-01-21,1.4,69807.0,1.4,1.4,0,,,
PURITY,2016-01-22,1.4,500.0,1.4,1.4,0,,,
PURITY,2016-01-25,1.4,27800.0,1.4,1.4,0,,,
PURITY,2016-01-26,1.3,108098.0,1.3,1.3,0,,,
PURITY,2016-01-28,1.38,194406.0,1.4,1.3,1,,,
PURITY,2016-01-29,1.31,21500.0,1.4,1.3,0,,,
PURITY,2016-02-01,1.4,58060.0,1.4,1.4,0,,,
PURITY,2016-02-02,1.4,815024.0,1.4,1.4,0,,,
PURITY,2016-02-04,1.55,3000.0,1.55,1.55,1,,,
PURITY,2016-02-05,1.59,156510.0,1.6,1.54,0,,,
PURITY,2016-02-08,1.6,79264.0,1.6,1.59,0,,,
PURITY,2016-02-09,1.62,130236.0,1.64,1.6,0,,,
PURITY,2016-02-11,1.63,5000.0,1.63,1.63,1,,,
PURITY,2016-02-12,1.66,55000.0,1.75,1.65,0,,,
PURITY,2016-02-15,1.79,4600.0,1.79,1.79,0,,,
PURITY,2016-02-16,1.79,54570.0,1.79,1.76,0,,,
PURITY,2016-02-17,1.76,51332.0,1.79,1.76,0,,,
PURITY,2016-02-18,1.79,57380.0,1.79,1.78,0,,,
PURITY,2016-02-19,1.69,220000.0,1.72,1.65,0,,,
PURITY,2016-02-23,1.67,23000.0,1.7,1.62,1,,,
PURITY,2016-02-25,1.6,10000.0,1.63,1.4,1,,,
PURITY,2016-02-29,1.44,15465.0,1.5,1.4,1,,,
PURITY,2016-03-01,1.4,16000.0,1.4,1.4,0,,,
PURITY,2016-03-02,1.6,100.0,1.6,1.6,0,-0.2263,1.0,0.0
PURITY,2016-03-03,1.59,122015.0,1.6,1.58,0,,,
PURITY,2016-03-07,1.59,6006.0,1.59,1.59,1,,,
PURITY,2016-03-08,1.58,59000.0,1.59,1.5,0,,,
PURITY,2016-03-09,1.49,6200.0,1.5,1.45,0,,,
PURITY,2016-03-10,1.5,2642.0,1.5,1.5,0,,,
PURITY,2016-03-11,1.5,700.0,1.5,1.5,0,,,
PURITY,2016-03-16,1.48,3920.0,1.48,1.48,2,0.0,1.0,0.0
PURITY,2016-03-17,1.48,2047.0,1.48,1.48,0,,,
PURITY,2016-03-18,1.3,21000.0,1.3,1.3,0,,,
PURITY,2016-03-22,1.31,2500.0,1.35,1.3,1,0.8271,1.0,0.0
PURITY,2016-03-23,1.3,13019.0,1.31,1.3,0,,,
PURITY,2016-03-24,1.3,70134.0,1.3,1.3,0,,,
PURITY,2016-03-29,1.12,5000.0,1.12,1.12,2,,,
PURITY,2016-03-30,1.1,100000.0,1.15,1.05,0,,,
PURITY,2016-03-31,1.15,5000.0,1.15,1.15,0,,,
PURITY,2016-04-01,1.23,29073.0,1.25,1.15,0,,,
PURITY,2016-04-04,1.24,40482.0,1.25,1.24,0,,,
PURITY,2016-04-05,1.24,7085.0,1.24,1.24,0,,,
PURITY,2016-04-06,1.23,51344.0,1.24,1.21,0,,,
PURITY,2016-04-07,1.15,55367.0,1.21,1.15,0,,,
PURITY,2016-04-12,1.01,782175.0,1.15,1.0,2,,,
