Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
QWI,2019-09-30,1.46,11782081.0,1.69,1.25,0,,,
QWI,2019-10-01,1.42,7456446.0,1.48,1.33,0,,,
QWI,2019-10-02,1.37,1344008.0,1.66,1.31,0,,,
QWI,2019-10-03,1.29,3825424.0,1.31,1.26,0,,,
QWI,2019-10-04,1.27,7702146.0,1.31,1.2,0,,,
QWI,2019-10-07,1.25,2133126.0,1.28,1.2,0,,,
QWI,2019-10-08,1.23,1467409.0,1.3,1.18,0,,,
QWI,2019-10-09,1.19,3054532.0,1.23,1.15,0,,,
QWI,2019-10-10,1.21,4822149.0,1.25,1.15,0,,,
QWI,2019-10-11,1.25,1577682.0,1.28,1.25,0,,,
QWI,2019-10-14,1.25,1834230.0,1.28,1.24,0,,,
QWI,2019-10-15,1.26,1007998.0,1.28,1.25,0,,,
QWI,2019-10-16,1.24,1874924.0,1.27,1.2,0,,,
QWI,2019-10-17,1.22,656908.0,1.25,1.19,0,,,
QWI,2019-10-18,1.21,528017.0,1.23,1.19,0,,,
QWI,2019-10-22,1.22,635758.0,1.24,1.2,1,0.779,1.0,0.0
QWI,2019-10-23,1.22,789387.0,1.3,1.2,0,,,
QWI,2019-10-24,1.22,959118.0,1.24,1.2,0,,,
QWI,2019-10-25,1.2,767687.0,1.22,1.18,0,,,
QWI,2019-10-28,1.18,415710.0,1.2,1.18,0,,,
QWI,2019-10-29,1.24,316057.0,1.36,1.18,0,0.8074,1.0,0.0
QWI,2019-10-30,1.18,713594.0,1.21,1.18,0,,,
QWI,2019-10-31,1.19,1213983.0,1.2,1.16,0,,,
QWI,2019-11-01,1.18,758230.0,1.2,1.17,0,,,
QWI,2019-11-04,1.19,1109141.0,1.2,1.17,0,,,
QWI,2019-11-05,1.19,658405.0,1.2,1.18,0,,,
QWI,2019-11-06,1.18,890915.0,1.2,1.16,0,0.7506,1.0,0.0
QWI,2019-11-07,1.17,596392.0,1.19,1.16,0,,,
QWI,2019-11-08,1.1,695051.0,1.18,1.02,0,,,
QWI,2019-11-11,1.06,979563.0,1.1,1.02,0,0.6369,0.0,0.0
QWI,2019-11-12,1.06,1811179.0,1.1,1.04,0,,,
QWI,2019-11-13,1.06,1567235.0,1.09,1.04,0,,,
QWI,2019-11-14,1.06,3971787.0,1.09,1.05,0,,,
QWI,2019-11-15,1.08,2171642.0,1.1,1.05,0,,,
QWI,2019-11-18,1.05,1129301.0,1.08,1.04,0,0.26215,0.0,0.0
QWI,2019-11-19,1.05,2458011.0,1.06,1.04,0,,,
QWI,2019-11-20,1.04,1549286.0,1.05,1.04,0,,,
QWI,2019-11-21,1.04,1925601.0,1.05,1.01,0,,,
QWI,2019-11-22,1.02,919163.0,1.04,1.01,0,,,
QWI,2019-11-25,1.02,1154985.0,1.04,1.0,0,0.8074,1.0,0.0
QWI,2019-11-26,1.01,1700973.0,1.03,1.0,0,,,
QWI,2019-11-27,1.01,2029261.0,1.03,1.0,0,,,
QWI,2019-11-28,1.02,1986856.0,1.03,1.01,0,-0.2263,1.0,0.0
QWI,2019-11-29,1.09,4522525.0,1.15,1.05,0,,,
QWI,2019-12-02,1.112777,885900.0,1.15,1.1,0,,,
QWI,2019-12-03,1.12,545923.0,1.14,1.1,0,0.4588,0.0,1.0
QWI,2019-12-04,1.14,393155.0,1.15,1.11,0,,,
QWI,2019-12-05,1.11,945356.0,1.14,1.09,0,0.8074,1.0,0.0
QWI,2019-12-06,1.11,350482.0,1.12,1.09,0,,,
QWI,2019-12-09,1.0943200000000002,327391.0,1.1,1.09,0,0.8074,1.0,0.0
QWI,2019-12-10,1.056883,1068274.0,1.13,1.02,0,,,
QWI,2019-12-11,1.074737,931990.0,1.11,1.04,0,,,
QWI,2019-12-12,1.046844,251853.0,1.08,1.03,0,,,
QWI,2019-12-13,1.060345,557597.0,1.1,1.05,0,0.8074,1.0,0.0
QWI,2019-12-16,1.106303,441317.0,1.12,1.09,0,,,
QWI,2019-12-17,1.099199,690754.0,1.12,1.09,0,,,
QWI,2019-12-18,1.088572,1369851.0,1.12,1.07,0,,,
