Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
RJR,2016-01-04,4.07,51000.0,4.08,3.8,0,,,
RJR,2016-01-05,4.21,215062.0,5.0,4.18,0,,,
RJR,2016-01-06,4.53,377987.0,5.0,4.5,0,,,
RJR,2016-01-07,5.05,10000.0,5.05,5.05,0,,,
RJR,2016-01-08,5.02,153706.0,5.5,5.0,0,,,
RJR,2016-01-11,5.5,115654.0,5.5,5.05,0,0.29600000000000004,0.0,0.0
RJR,2016-01-12,5.6,200.0,5.6,5.6,0,,,
RJR,2016-01-13,5.6,42205.0,5.6,5.6,0,,,
RJR,2016-01-14,5.6,21940.0,5.6,5.5,0,,,
RJR,2016-01-15,5.63,32400.0,6.0,5.6,0,,,
RJR,2016-01-18,5.91,11303.0,5.95,5.5,0,,,
RJR,2016-01-20,4.8,25800.0,4.8,4.8,1,,,
RJR,2016-01-22,4.21,405020.0,4.8,4.2,1,,,
RJR,2016-01-27,4.49,21945.0,5.0,4.2,2,,,
RJR,2016-02-02,4.5,700.0,4.5,4.5,3,,,
RJR,2016-02-04,4.46,12500.0,4.49,4.45,1,,,
RJR,2016-02-11,4.49,8132.0,4.5,4.49,4,-0.3021,0.0,0.0
RJR,2016-02-12,4.5,600.0,4.5,4.5,0,0.2023,1.0,0.0
RJR,2016-02-15,4.6,380.0,4.6,4.6,0,,,
RJR,2016-02-16,4.6,8411.0,4.65,4.0,0,,,
RJR,2016-02-18,4.6,17651.0,4.61,4.6,1,,,
RJR,2016-02-19,4.3,1414.0,4.3,4.3,0,0.7579,0.0,0.0
RJR,2016-02-22,4.38,8300.0,4.5,4.3,0,,,
RJR,2016-02-23,4.3,442.0,4.3,4.3,0,,,
RJR,2016-02-25,4.0,3965.0,4.0,4.0,1,,,
RJR,2016-02-29,4.0,191.0,4.0,4.0,1,,,
RJR,2016-03-01,4.0,200.0,4.0,4.0,0,,,
RJR,2016-03-07,3.98,12200.0,3.98,3.98,3,,,
RJR,2016-03-08,3.99,5418.0,4.0,3.98,0,,,
RJR,2016-03-09,3.85,817.0,3.85,3.85,0,,,
RJR,2016-03-11,3.9,25862.0,3.95,3.85,1,-0.0772,0.0,0.0
RJR,2016-03-14,3.95,13883.0,3.95,3.95,0,,,
RJR,2016-03-15,4.31,29880.0,4.35,4.29,0,,,
RJR,2016-03-16,4.4,10255.0,4.5,4.35,0,,,
RJR,2016-03-17,4.66,11124.0,4.75,4.6,0,,,
RJR,2016-03-18,4.97,27747.0,4.99,4.75,0,,,
RJR,2016-03-31,1.46,34355.0,1.46,1.46,8,0.7845,0.0,0.0
RJR,2016-04-01,1.46,132411.0,1.46,1.4,0,,,
RJR,2016-04-04,1.42,11491.0,1.46,1.2,0,-0.2263,0.0,0.0
RJR,2016-04-05,1.44,87952.0,1.45,1.4,0,,,
RJR,2016-04-06,1.25,148818235.0,1.42,1.25,0,,,
RJR,2016-04-07,1.2,51800.0,1.26,1.15,0,,,
RJR,2016-04-08,1.12,43604186.0,1.15,1.09,0,,,
RJR,2016-04-11,1.14,22321.0,1.15,1.12,0,,,
RJR,2016-04-12,1.15,251538.0,1.15,1.15,0,,,
RJR,2016-04-14,1.15,155185.0,1.18,1.13,1,-0.34,0.0,1.0
RJR,2016-04-15,1.16,303827.0,1.17,1.14,0,0.4588,0.0,1.0
RJR,2016-04-18,1.14,5250.0,1.14,1.14,0,,,
RJR,2016-04-19,1.1,134542.0,1.14,1.08,0,,,
RJR,2016-04-20,1.14,710157.0,1.2,1.12,0,0.4588,0.0,1.0
RJR,2016-04-21,1.13,2718.0,1.13,1.13,0,,,
RJR,2016-04-22,1.2,1895681.0,1.2,1.14,0,,,
RJR,2016-04-25,1.2,563999.0,1.2,1.18,0,,,
RJR,2016-04-26,1.2,74000.0,1.2,1.2,0,,,
RJR,2016-04-27,1.1,62954.0,1.15,1.08,0,,,
RJR,2016-04-28,1.15,94200.0,1.15,1.1,0,,,
RJR,2016-05-02,1.2,34500.0,1.2,1.2,1,,,
RJR,2016-05-03,1.19,25100.0,1.2,1.19,0,,,
RJR,2016-05-04,1.19,3831.0,1.19,1.19,0,,,
RJR,2016-05-05,1.15,39500.0,1.15,1.15,0,,,
RJR,2016-05-06,1.19,16000.0,1.19,1.19,0,,,
RJR,2016-05-09,1.1,366763.0,1.13,1.1,0,,,
RJR,2016-05-10,1.1,15327.0,1.1,1.1,0,,,
RJR,2016-05-11,1.1,154400.0,1.1,1.1,0,,,
RJR,2016-05-12,1.1,45331.0,1.1,1.09,0,,,
RJR,2016-05-13,1.1,330850.0,1.1,1.1,0,,,
RJR,2016-05-16,1.1,67645.0,1.1,1.08,0,,,
RJR,2016-05-17,1.15,85158.0,1.25,1.08,0,,,
RJR,2016-05-18,1.19,11920.0,1.27,1.12,0,,,
RJR,2016-05-19,1.28,33600.0,1.45,1.15,0,,,
RJR,2016-05-20,1.3,70612.0,1.3,1.28,0,,,
RJR,2016-05-24,1.31,12525.0,1.32,1.31,1,,,
RJR,2016-05-25,1.31,5000.0,1.31,1.31,0,,,
RJR,2016-05-26,1.32,66216.0,1.33,1.31,0,,,
RJR,2016-05-27,1.34,73776.0,1.37,1.3,0,,,
RJR,2016-05-30,1.35,86158.0,1.36,1.35,0,,,
RJR,2016-05-31,1.45,203603.0,1.45,1.4,0,,,
RJR,2016-06-01,1.65,393668.0,1.75,1.45,0,,,
RJR,2016-06-02,1.9,55747.0,1.92,1.7,0,,,
RJR,2016-06-03,2.0,328001.0,2.1,1.8,0,-0.2263,1.0,0.0
RJR,2016-06-06,2.04,10249651.0,2.22,2.04,0,,,
RJR,2016-06-07,2.11,6485157.0,2.11,2.0,0,,,
RJR,2016-06-08,1.7,105416.0,2.1,1.7,0,-0.2263,1.0,0.0
RJR,2016-06-09,1.66,120016.0,1.8,1.52,0,,,
RJR,2016-06-10,1.63,601417.0,1.8,1.42,0,,,
RJR,2016-06-13,1.69,229798.0,1.72,1.39,0,,,
RJR,2016-06-14,1.53,300000.0,1.7,1.52,0,,,
RJR,2016-06-15,1.75,3000.0,1.75,1.75,0,,,
RJR,2016-06-16,1.85,30600.0,1.85,1.85,0,,,
RJR,2016-06-20,1.75,78200.0,1.75,1.74,1,,,
RJR,2016-06-21,1.57,80100.0,1.83,1.5,0,,,
