Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
ROC,2016-03-15,3.55,11000.0,3.55,3.51,0,,,
ROC,2016-03-16,3.99,918529.0,4.03,3.65,0,,,
ROC,2016-03-17,4.33,521013.0,4.51,4.05,0,,,
ROC,2016-03-18,4.08,87516.0,4.3,4.0,0,,,
ROC,2016-03-21,3.88,368917.0,4.0,3.6,0,,,
ROC,2016-03-22,3.98,456960.0,4.0,3.75,0,,,
ROC,2016-03-23,4.0,13000.0,4.0,4.0,0,,,
ROC,2016-03-29,4.0,29000.0,4.0,4.0,3,,,
ROC,2016-03-30,4.0,163004.0,4.0,4.0,0,,,
ROC,2016-03-31,4.0,2500.0,4.0,4.0,0,,,
ROC,2016-04-01,4.0,5000.0,4.0,4.0,0,,,
ROC,2016-04-04,4.0,245.0,4.0,4.0,0,,,
ROC,2016-04-05,3.94,125840.0,4.08,3.85,0,,,
ROC,2016-04-08,3.93,12048.0,4.0,3.9,2,,,
ROC,2016-04-12,3.91,34141.0,3.95,3.9,1,,,
ROC,2016-04-14,3.65,8000.0,3.65,3.65,1,,,
ROC,2016-04-15,3.65,1000.0,3.65,3.65,0,,,
ROC,2016-04-18,3.55,75500.0,3.65,3.5,0,,,
ROC,2016-04-19,3.5,10000.0,3.5,3.5,0,,,
ROC,2016-04-22,3.5,28000.0,3.5,3.5,2,,,
ROC,2016-04-26,3.1,118926.0,3.1,3.1,1,,,
ROC,2016-04-27,3.1,63000.0,3.1,3.1,0,,,
ROC,2016-04-28,3.31,9786.0,3.35,3.3,0,,,
ROC,2016-04-29,3.35,8800.0,3.35,3.35,0,,,
ROC,2016-05-02,3.4,4000.0,3.4,3.4,0,,,
ROC,2016-05-06,3.4,37000.0,3.4,3.4,3,0.0,1.0,0.0
ROC,2016-05-11,3.4,1000.0,3.4,3.4,2,,,
ROC,2016-05-13,3.4,2725.0,3.4,3.4,1,,,
ROC,2016-05-16,3.4,180416.0,3.4,3.39,0,,,
ROC,2016-05-17,3.49,386468.0,3.5,3.4,0,,,
ROC,2016-05-18,3.75,2000.0,3.75,3.75,0,,,
ROC,2016-05-25,3.75,3000.0,3.75,3.75,4,,,
ROC,2016-05-26,3.2,1395.0,3.2,3.2,0,,,
ROC,2016-05-31,3.4,1048.0,3.4,3.4,2,,,
ROC,2016-06-02,3.2,628310.0,3.2,3.2,1,,,
ROC,2016-06-09,3.23,109000.0,3.3,3.23,4,,,
ROC,2016-06-13,3.27,16000.0,3.36,3.23,1,,,
ROC,2016-06-14,3.23,5000.0,3.25,3.23,0,,,
ROC,2016-06-16,3.23,23955.0,3.3,3.23,1,,,
ROC,2016-06-17,3.23,303353.0,3.3,3.23,0,,,
ROC,2016-06-22,3.2,1000.0,3.2,3.2,2,,,
ROC,2016-06-24,3.2,59000.0,3.2,3.2,1,0.0772,0.0,1.0
ROC,2016-06-27,3.26,187915.0,3.26,3.26,0,,,
ROC,2016-06-29,3.3,16900.0,3.3,3.3,1,,,
ROC,2016-07-04,3.35,9838.0,3.35,3.35,2,,,
ROC,2016-07-05,3.3,9000.0,3.3,3.3,0,,,
ROC,2016-07-06,3.25,5000.0,3.25,3.25,0,,,
ROC,2016-07-11,3.2,21000.0,3.2,3.18,2,,,
ROC,2016-07-12,3.35,49100.0,3.35,3.25,0,,,
ROC,2016-07-15,3.55,139156.0,3.55,3.55,2,,,
ROC,2016-07-19,3.27,9000.0,3.35,3.2,1,,,
ROC,2016-07-20,3.18,11000.0,3.18,3.18,0,,,
ROC,2016-07-21,3.2,25000.0,3.2,3.2,0,,,
ROC,2016-07-22,3.25,13000.0,3.25,3.25,0,,,
ROC,2016-07-26,3.18,610529.0,3.25,3.18,1,,,
ROC,2016-08-04,3.6,2000.0,3.6,3.6,6,,,
ROC,2016-08-05,3.28,3000.0,3.28,3.28,0,,,
ROC,2016-08-09,3.28,358746.0,3.28,3.28,1,,,
ROC,2016-08-11,3.3,720.0,3.3,3.3,1,,,
ROC,2016-08-15,3.29,4768.0,3.3,3.28,1,,,
ROC,2016-08-22,3.3,1303.0,3.3,3.3,4,,,
ROC,2016-08-24,3.3,24393.0,3.3,3.28,1,,,
ROC,2016-08-26,3.3,3697.0,3.3,3.3,1,,,
ROC,2016-08-31,3.18,467982.0,3.3,3.18,2,,,
