Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
SCIUSD,2018-10-01,0.11,8844.0,0.11,0.11,0,,,
SCIUSD,2019-09-02,0.13,8844.0,0.13,0.13,239,,,
SCIUSD,2019-12-03,0.14,7000.0,0.14,0.14,65,,,
SCIUSD,2019-12-06,0.14,11512.0,0.14,0.14,2,,,
SCIUSD,2019-12-09,0.14,24282.0,0.14,0.14,0,,,
SCIUSD,2019-12-10,0.14,27002.0,0.14,0.14,0,,,
SCIUSD,2019-12-11,0.13993699999999998,103080.0,0.14,0.139,0,,,
SCIUSD,2019-12-12,0.139961,70933.0,0.14,0.133,0,,,
SCIUSD,2019-12-13,0.14,65261.0,0.14,0.14,0,,,
SCIUSD,2019-12-16,0.144052,12020.0,0.15,0.14,0,,,
SCIUSD,2019-12-17,0.14502,1289640.0,0.15,0.14,0,,,
SCIUSD,2019-12-18,0.147761,6700.0,0.15,0.14,0,,,
SCIUSD,2019-12-19,0.143152,201518.0,0.15,0.14,0,,,
SCIUSD,2019-12-20,0.14,28046.0,0.14,0.14,0,,,
SCIUSD,2019-12-23,0.14,81017.0,0.14,0.14,0,,,
SCIUSD,2019-12-24,0.139308,269871.0,0.14,0.134,0,,,
SCIUSD,2019-12-27,0.14,20198.0,0.14,0.14,2,,,
SCIUSD,2019-12-30,0.14064300000000002,71520.0,0.15,0.14,0,,,
SCIUSD,2019-12-31,0.149329,9332.0,0.15,0.14800000000000002,0,,,
SCIUSD,2020-01-02,0.151,4500.0,0.151,0.151,1,,,
SCIUSD,2020-01-06,0.153871,14000.0,0.17,0.151,1,,,
SCIUSD,2020-01-07,0.14909,91101.0,0.17,0.14,0,,,
SCIUSD,2020-01-08,0.139989,190358.0,0.14,0.135,0,,,
SCIUSD,2020-01-09,0.14,146976.0,0.14,0.14,0,,,
SCIUSD,2020-01-10,0.14,21965.0,0.14,0.14,0,,,
SCIUSD,2020-01-13,0.18,8700.0,0.18,0.18,0,,,
SCIUSD,2020-01-14,0.18,8800.0,0.18,0.18,0,,,
SCIUSD,2020-01-15,0.149326,73431.0,0.15,0.14300000000000002,0,,,
SCIUSD,2020-01-16,0.1611,56225.0,0.18,0.15,0,,,
SCIUSD,2020-01-17,0.18,1625.0,0.18,0.18,0,,,
SCIUSD,2020-01-20,0.157932,126766.0,0.175,0.15,0,,,
SCIUSD,2020-01-21,0.170401,23393.0,0.175,0.17,0,,,
SCIUSD,2020-01-23,0.175,5590.0,0.175,0.175,1,,,
SCIUSD,2020-01-24,0.156192,84127.0,0.175,0.15,0,,,
SCIUSD,2020-01-27,0.163253,17489.0,0.17,0.16,0,,,
SCIUSD,2020-01-29,0.159878,5163.0,0.165,0.154,1,,,
SCIUSD,2020-01-30,0.16,15000.0,0.16,0.16,0,,,
SCIUSD,2020-02-03,0.165,2936.0,0.165,0.165,1,,,
SCIUSD,2020-02-04,0.17693399999999998,178610.0,0.18,0.17,0,,,
SCIUSD,2020-02-05,0.18,986.0,0.18,0.18,0,,,
SCIUSD,2020-02-06,0.179049,4229.0,0.1799,0.179,0,,,
