Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
SELECTMD,2019-12-18,1.075091,573461.0,1.16,1.0,0,,,
SELECTMD,2019-12-19,0.991547,11253152.0,1.01,0.91,0,,,
SELECTMD,2019-12-20,0.932377,10028086.0,1.04,0.9,0,,,
SELECTMD,2019-12-23,0.93512,3480206.0,0.98,0.9,0,,,
SELECTMD,2019-12-24,0.97542,4577128.0,1.0,0.95,0,,,
SELECTMD,2019-12-27,0.998454,2403771.0,1.0,0.96,2,,,
SELECTMD,2019-12-30,0.970188,1780156.0,0.99,0.95,0,,,
SELECTMD,2019-12-31,0.986508,10295911.0,1.0,0.98,0,,,
SELECTMD,2020-01-02,1.002373,2454406.0,1.01,1.0,1,,,
SELECTMD,2020-01-03,1.002463,946634.0,1.01,1.0,0,,,
SELECTMD,2020-01-06,0.999812,849379.0,1.0,0.99,0,,,
SELECTMD,2020-01-07,0.99073,1678044.0,1.0,0.99,0,,,
SELECTMD,2020-01-08,0.991235,1252648.0,1.0,0.99,0,,,
SELECTMD,2020-01-09,0.974617,2144883.0,1.0,0.97,0,,,
SELECTMD,2020-01-10,0.97923,1546332.0,0.99,0.97,0,,,
SELECTMD,2020-01-13,0.970729,1434109.0,0.98,0.97,0,,,
SELECTMD,2020-01-14,0.97091,1866191.0,0.99,0.97,0,,,
SELECTMD,2020-01-15,0.971145,2256298.0,0.98,0.97,0,,,
SELECTMD,2020-01-16,0.97063,618923.0,0.98,0.97,0,,,
SELECTMD,2020-01-17,0.970002,1168203.0,0.98,0.97,0,,,
SELECTMD,2020-01-20,0.968801,2642666.0,0.98,0.96,0,,,
SELECTMD,2020-01-21,0.960239,2237097.0,0.97,0.96,0,,,
SELECTMD,2020-01-22,0.960397,1705405.0,0.98,0.96,0,,,
SELECTMD,2020-01-23,0.953593,2392916.0,0.96,0.95,0,,,
SELECTMD,2020-01-24,0.950064,2424096.0,0.96,0.95,0,,,
SELECTMD,2020-01-27,0.948694,3320542.0,0.96,0.91,0,,,
SELECTMD,2020-01-28,0.937329,1904230.0,0.95,0.9,0,,,
SELECTMD,2020-01-29,0.948318,9220581.0,0.97,0.94,0,,,
SELECTMD,2020-01-30,0.940369,1183686.0,0.96,0.94,0,,,
SELECTMD,2020-01-31,0.929161,1258398.0,0.95,0.9,0,,,
SELECTMD,2020-02-03,0.93958,5674151.0,0.95,0.93,0,,,
SELECTMD,2020-02-04,0.940499,1858935.0,0.95,0.94,0,,,
SELECTMD,2020-02-05,0.932184,2388341.0,0.95,0.93,0,,,
SELECTMD,2020-02-06,0.930289,4269612.0,0.94,0.93,0,,,
SELECTMD,2020-02-07,0.92636,4725497.0,0.94,0.8,0,,,
SELECTMD,2020-02-10,0.920332,4411550.0,0.94,0.92,0,,,
SELECTMD,2020-02-11,0.92045,4650560.0,0.93,0.92,0,,,
SELECTMD,2020-02-12,0.920191,2674606.0,0.93,0.92,0,,,
SELECTMD,2020-02-13,0.923209,1144312.0,0.93,0.92,0,,,
SELECTMD,2020-02-14,0.920005,2205750.0,0.93,0.92,0,,,
SELECTMD,2020-02-17,0.920257,2231097.0,0.93,0.92,0,,,
SELECTMD,2020-02-18,0.92192,1672084.0,0.93,0.92,0,,,
SELECTMD,2020-02-19,0.921467,366790.0,0.93,0.92,0,,,
SELECTMD,2020-02-20,0.920007,3327530.0,0.93,0.92,0,,,
SELECTMD,2020-02-21,0.920132,1172070.0,0.93,0.92,0,,,
SELECTMD,2020-02-24,0.923864,755799.0,0.93,0.92,0,,,
SELECTMD,2020-02-25,0.920013,1542000.0,0.93,0.92,0,,,
SELECTMD,2020-02-27,0.920296,710156.0,0.93,0.92,1,,,
SELECTMD,2020-02-28,0.920054,6691875.0,0.93,0.92,0,,,
SELECTMD,2020-03-02,0.920164,699480.0,0.93,0.92,0,,,
SELECTMD,2020-03-03,0.920018,3638629.0,0.93,0.92,0,,,
SELECTMD,2020-03-04,0.920035,809818.0,0.93,0.92,0,,,
SELECTMD,2020-03-05,0.920033,2069249.0,0.93,0.92,0,,,
SELECTMD,2020-03-06,0.920285,3882650.0,0.93,0.92,0,,,
SELECTMD,2020-03-09,0.815272,1438865.0,0.93,0.8,0,,,
SELECTMD,2020-03-10,0.803921,428211.0,0.92,0.8,0,,,
SELECTMD,2020-03-11,0.801565,671717.0,0.9,0.8,0,,,
SELECTMD,2020-03-12,0.803924,333200.0,0.9,0.8,0,,,
SELECTMD,2020-03-13,0.807221,633624.0,0.85,0.8,0,,,
SELECTMD,2020-03-16,0.7885909999999999,191064.0,0.85,0.75,0,,,
SELECTMD,2020-03-17,0.786093,139475.0,0.8,0.75,0,,,
SELECTMD,2020-03-18,0.67511,239960.0,0.78,0.65,0,,,
SELECTMD,2020-03-19,0.510933,2284000.0,0.6,0.49,0,,,
SELECTMD,2020-03-20,0.529779,4347956.0,0.59,0.46,0,,,
SELECTMD,2020-03-23,0.534242,1153068.0,0.6,0.5,0,,,
SELECTMD,2020-03-24,0.594951,597003.0,0.61,0.54,0,,,
SELECTMD,2020-03-25,0.577483,287488.0,0.6,0.55,0,,,
SELECTMD,2020-03-26,0.55394,1226447.0,0.62,0.52,0,,,
SELECTMD,2020-03-27,0.555438,137860.0,0.59,0.53,0,,,
SELECTMD,2020-03-30,0.593021,745167.0,0.63,0.56,0,,,
SELECTMD,2020-03-31,0.618738,537051.0,0.65,0.59,0,,,
SELECTMD,2020-04-01,0.6634899999999999,482770.0,0.7,0.63,0,,,
SELECTMD,2020-04-02,0.7357239999999999,301773.0,0.8,0.7,0,,,
SELECTMD,2020-04-03,0.8590969999999999,1865300.0,0.95,0.75,0,,,
SELECTMD,2020-04-06,0.89533,202732.0,0.91,0.81,0,,,
SELECTMD,2020-04-07,0.868347,652769.0,0.92,0.85,0,,,
SELECTMD,2020-04-08,0.899652,503000.0,0.91,0.89,0,,,
SELECTMD,2020-04-09,0.893458,255841.0,0.9,0.89,0,,,
SELECTMD,2020-04-14,0.907304,283760.0,0.93,0.89,2,,,
SELECTMD,2020-04-15,0.890935,319220.0,0.9,0.89,0,,,
SELECTMD,2020-04-16,0.890547,75725.0,0.91,0.89,0,,,
SELECTMD,2020-04-17,0.8857440000000001,455452.0,0.9,0.88,0,,,
SELECTMD,2020-04-20,0.8610040000000001,222498.0,0.89,0.86,0,,,
SELECTMD,2020-04-21,0.8755149999999999,253951.0,0.89,0.86,0,,,
SELECTMD,2020-04-22,0.8686709999999999,475175.0,0.89,0.86,0,,,
SELECTMD,2020-04-23,0.881365,102493.0,0.89,0.88,0,,,
SELECTMD,2020-04-24,0.881445,58444.0,0.89,0.88,0,,,
SELECTMD,2020-04-27,0.89,9750.0,0.89,0.89,0,,,
SELECTMD,2020-04-28,0.8808440000000001,98295.0,0.89,0.88,0,,,
SELECTMD,2020-04-29,0.88,170000.0,0.88,0.88,0,,,
