Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
SJ,2016-01-04,20.0,26426.0,20.1,20.0,0,0.4215,0.0,1.0
SJ,2016-01-05,20.51,3200.0,22.0,20.19,0,,,
SJ,2016-01-06,21.83,15950.0,22.0,21.5,0,,,
SJ,2016-01-07,22.08,819266.0,22.75,22.05,0,,,
SJ,2016-01-08,22.76,464643.0,25.0,22.51,0,,,
SJ,2016-01-11,23.06,338597.0,25.0,23.0,0,,,
SJ,2016-01-12,23.07,109760.0,25.0,23.0,0,,,
SJ,2016-01-13,23.49,266030.0,23.5,23.15,0,,,
SJ,2016-01-14,23.02,5208162.0,24.0,23.01,0,,,
SJ,2016-01-15,23.28,365894.0,23.52,22.8,0,0.4215,0.0,1.0
SJ,2016-01-18,22.97,16782.0,22.99,22.97,0,,,
SJ,2016-01-19,21.91,82272.0,22.99,21.01,0,,,
SJ,2016-01-20,21.81,230143.0,21.91,21.45,0,,,
SJ,2016-01-21,22.46,32585.0,23.0,22.0,0,,,
SJ,2016-01-22,23.0,240545.0,23.25,22.0,0,,,
SJ,2016-01-25,23.19,61650.0,24.0,23.05,0,,,
SJ,2016-01-26,23.01,189997.0,23.5,22.05,0,,,
SJ,2016-01-27,22.86,7704.0,23.0,22.79,0,0.0772,0.0,0.0
SJ,2016-01-28,23.33,4170.0,23.45,23.0,0,,,
SJ,2016-01-29,23.33,40900.0,23.5,22.83,0,,,
SJ,2016-02-01,23.04,102424.0,23.5,22.99,0,,,
SJ,2016-02-02,23.01,57009.0,23.2,22.9,0,,,
SJ,2016-02-03,23.08,28350.0,23.3,23.05,0,,,
SJ,2016-02-04,23.0,36417.0,23.02,23.0,0,,,
SJ,2016-02-05,22.98,573960.0,23.05,22.75,0,,,
SJ,2016-02-08,22.9,642587.0,24.0,21.75,0,,,
SJ,2016-02-09,23.35,131685.0,23.5,21.8,0,,,
SJ,2016-02-11,23.05,164051.0,23.1,23.0,1,,,
SJ,2016-02-12,23.04,370399.0,23.24,22.0,0,,,
SJ,2016-02-15,22.93,38760.0,23.0,22.0,0,,,
SJ,2016-02-16,22.99,2045.0,23.0,22.93,0,,,
SJ,2016-02-17,22.38,17494.0,22.93,22.05,0,,,
SJ,2016-02-18,22.12,15459.0,22.38,22.05,0,,,
SJ,2016-02-19,22.22,469568.0,22.5,22.05,0,,,
SJ,2016-02-22,22.18,153358.0,22.7,22.15,0,,,
SJ,2016-02-23,23.0,1664907.0,23.05,22.18,0,,,
SJ,2016-02-24,23.21,784897.0,23.55,23.01,0,0.4588,0.0,1.0
SJ,2016-02-25,23.34,4270.0,23.5,23.05,0,,,
SJ,2016-02-26,23.07,515847.0,23.3,23.0,0,,,
SJ,2016-02-29,23.2,91075.0,23.3,23.2,0,0.4588,0.0,1.0
SJ,2016-03-01,23.22,289270.0,23.3,23.02,0,-0.2263,1.0,0.0
SJ,2016-03-02,23.47,697261.0,23.5,23.0,0,,,
SJ,2016-03-03,23.46,139040.0,23.51,23.01,0,,,
SJ,2016-03-04,23.98,584105.0,24.05,23.55,0,,,
