Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
SML,2018-08-22,5.5,20500.0,5.5,5.5,0,,,
SML,2018-08-23,5.31,77000.0,5.31,5.3,0,0.5423,0.0,0.0
SML,2018-08-24,5.0,3000.0,5.0,5.0,0,,,
SML,2018-08-27,4.82,2211.0,4.95,4.8,0,,,
SML,2018-08-28,4.66,54002.0,4.95,4.6,0,,,
SML,2018-08-29,4.51,22188.0,4.6,4.5,0,,,
SML,2018-08-30,4.55,47600.0,4.6,4.49,0,,,
SML,2018-08-31,4.6,7000.0,4.6,4.6,0,,,
SML,2018-09-03,4.41,4877.0,4.6,4.4,0,,,
SML,2018-09-04,4.4,5373.0,4.4,4.4,0,,,
SML,2018-09-05,4.57,79549.0,4.6,4.5,0,,,
SML,2018-09-10,4.89,9000.0,4.9,4.89,2,,,
SML,2018-09-11,4.9,100.0,4.9,4.9,0,,,
SML,2018-09-12,4.99,2591.0,4.99,4.99,0,,,
SML,2018-09-13,4.92,2809.0,5.0,4.8,0,,,
SML,2018-09-14,4.8,3461.0,4.8,4.8,0,,,
SML,2018-09-17,5.06,41600.0,5.31,5.0,0,,,
SML,2018-09-19,5.12,8000.0,5.15,5.1,1,,,
SML,2018-09-20,4.81,14100.0,5.0,4.8,0,,,
SML,2018-09-21,4.81,5839.0,4.81,4.81,0,,,
SML,2018-09-24,4.85,18800.0,4.85,4.85,0,,,
SML,2018-09-25,5.28,170600.0,5.31,5.0,0,,,
SML,2018-09-26,5.27,350.0,5.27,5.27,0,,,
SML,2018-10-02,5.25,4000.0,5.25,5.25,3,,,
SML,2018-10-04,5.25,100.0,5.25,5.25,1,,,
SML,2018-10-05,5.13,4600.0,5.3,4.5,0,,,
SML,2018-10-08,5.25,15863.0,5.25,5.25,0,,,
SML,2018-10-09,5.25,3600.0,5.25,5.25,0,,,
SML,2018-10-10,5.25,1374.0,5.25,5.25,0,,,
SML,2018-10-16,5.0,23450.0,5.0,5.0,3,,,
SML,2018-10-17,4.99,67400.0,5.0,4.55,0,,,
SML,2018-10-18,5.0,3555.0,5.0,5.0,0,,,
SML,2018-10-19,5.0,4000.0,5.0,5.0,0,,,
SML,2018-10-22,4.21,30100.0,4.5,4.2,0,,,
SML,2018-10-23,4.54,15800.0,4.56,4.45,0,,,
SML,2018-10-30,5.0,25000.0,5.0,5.0,4,,,
SML,2018-10-31,5.0,75450.0,5.0,5.0,0,,,
SML,2018-11-01,5.0,1000.0,5.0,5.0,0,,,
SML,2018-11-05,4.6,17000.0,5.0,4.48,1,,,
SML,2018-11-07,4.5,13500.0,4.5,4.5,1,,,
SML,2018-11-08,4.5,7200.0,4.5,4.5,0,,,
SML,2018-11-09,4.51,20555.0,4.55,4.5,0,,,
SML,2018-11-15,4.55,5600.0,4.55,4.55,3,0.0,1.0,0.0
SML,2018-11-19,5.25,8063.0,5.25,5.25,1,,,
SML,2018-11-20,5.25,18808.0,5.25,5.25,0,,,
SML,2018-11-21,5.15,9728.0,5.25,5.0,0,,,
SML,2018-11-23,5.15,33898200.0,5.15,5.15,1,,,
SML,2018-11-26,5.1,14710.0,5.15,5.0,0,,,
