Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
SVL,2016-01-04,4.66,208363.0,4.66,4.66,0,,,
SVL,2016-01-05,4.65,76838.0,4.66,4.63,0,,,
SVL,2016-01-06,4.66,123931.0,4.66,4.65,0,0.765,0.0,1.0
SVL,2016-01-07,4.66,103650.0,4.66,4.66,0,,,
SVL,2016-01-08,4.66,166144.0,4.66,4.6,0,,,
SVL,2016-01-11,4.65,981818.0,4.66,4.6,0,,,
SVL,2016-01-12,4.61,754726.0,4.66,4.51,0,,,
SVL,2016-01-13,4.64,114784.0,4.66,4.6,0,,,
SVL,2016-01-14,4.66,8564688.0,5.0,4.64,0,,,
SVL,2016-01-15,4.91,70820.0,5.0,4.7,0,,,
SVL,2016-01-18,5.08,171360.0,5.12,4.8,0,,,
SVL,2016-01-19,5.17,56950.0,5.25,5.15,0,,,
SVL,2016-01-20,5.24,1076108.0,5.5,5.15,0,,,
SVL,2016-01-21,5.5,400000.0,5.5,5.5,0,,,
SVL,2016-01-22,5.11,983022.0,6.0,5.0,0,,,
SVL,2016-01-25,6.49,72434.0,6.55,5.5,0,,,
SVL,2016-01-26,6.59,223971.0,6.9,6.49,0,,,
SVL,2016-01-27,6.55,64920.0,6.58,6.5,0,,,
SVL,2016-01-28,6.27,221810.0,6.8,6.0,0,,,
SVL,2016-01-29,6.32,105730.0,6.55,6.2,0,,,
SVL,2016-02-01,6.32,70381.0,6.5,6.1,0,,,
SVL,2016-02-02,6.32,98920.0,6.35,6.1,0,,,
SVL,2016-02-03,6.14,305480.0,6.4,6.05,0,,,
SVL,2016-02-04,5.93,146780.0,6.25,5.8,0,,,
SVL,2016-02-05,6.12,124970.0,6.25,6.05,0,,,
SVL,2016-02-08,6.26,312500.0,6.5,6.11,0,0.4019,0.0,0.0
SVL,2016-02-09,6.26,900005.0,7.0,6.25,0,,,
SVL,2016-02-11,6.16,85982.0,6.26,6.15,1,,,
SVL,2016-02-12,5.88,511615.0,6.5,5.75,0,0.9081,0.0,0.0
SVL,2016-02-15,5.96,211534.0,6.45,5.75,0,,,
SVL,2016-02-16,5.95,240000.0,6.45,5.9,0,,,
SVL,2016-02-17,6.03,138588.0,6.35,5.75,0,,,
SVL,2016-02-18,6.0,48200.0,6.0,5.9,0,,,
SVL,2016-02-19,5.87,170772.0,5.95,5.85,0,,,
SVL,2016-02-22,5.72,385440.0,5.9,5.7,0,,,
SVL,2016-02-23,5.61,17850.0,5.9,5.5,0,0.5994,0.0,0.0
SVL,2016-02-24,5.51,1230000.0,5.51,5.51,0,,,
SVL,2016-02-25,5.57,114353.0,6.0,5.55,0,,,
SVL,2016-02-26,6.0,17200.0,6.0,6.0,0,,,
SVL,2016-02-29,6.0,45748.0,6.0,6.0,0,0.5574,1.0,0.0
SVL,2016-03-01,5.99,6975.0,6.0,5.99,0,,,
SVL,2016-03-02,5.94,26034.0,5.95,5.9,0,,,
SVL,2016-03-03,5.39,65999.0,5.9,5.2,0,,,
SVL,2016-03-04,5.22,28335.0,5.25,5.2,0,,,
SVL,2016-03-07,5.03,107124.0,5.25,5.0,0,,,
SVL,2016-03-08,5.0,76200.0,5.15,4.8,0,,,
SVL,2016-03-09,4.79,25260.0,4.99,4.45,0,,,
SVL,2016-03-10,4.89,74835.0,5.0,4.7,0,,,
SVL,2016-03-11,4.7,33725.0,4.7,4.69,0,,,
SVL,2016-03-14,4.69,224418.0,4.75,4.6,0,,,
SVL,2016-03-15,5.02,33900.0,5.15,4.4,0,,,
SVL,2016-03-16,5.03,8250.0,5.05,5.0,0,,,
SVL,2016-03-17,5.05,33200.0,5.1,5.0,0,,,
SVL,2016-03-18,5.03,11600.0,5.1,5.0,0,,,
SVL,2016-03-21,4.79,81308.0,5.0,4.5,0,,,
SVL,2016-03-22,4.54,34223.0,5.0,4.5,0,,,
SVL,2016-03-23,4.99,334200.0,4.99,4.54,0,,,
SVL,2016-03-24,4.27,6523950.0,5.0,4.26,0,,,
SVL,2016-03-29,4.66,6000.0,4.66,4.66,2,,,
SVL,2016-03-30,4.85,120462.0,5.0,4.65,0,,,
SVL,2016-03-31,5.0,30650.0,5.0,4.99,0,,,
SVL,2016-04-01,4.84,127150.0,5.0,4.8,0,,,
SVL,2016-04-04,4.95,3920.0,4.95,4.95,0,,,
SVL,2016-04-05,4.95,4867.0,4.96,4.86,0,,,
SVL,2016-04-06,4.99,10390.0,5.0,4.9,0,0.765,0.0,1.0
SVL,2016-04-07,4.88,32376.0,4.95,4.86,0,,,
SVL,2016-04-08,4.95,44364.0,5.0,4.94,0,0.743,0.0,0.0
SVL,2016-04-11,4.98,45179.0,5.0,4.95,0,,,
SVL,2016-04-12,5.0,31275.0,5.0,5.0,0,,,
SVL,2016-04-13,5.23,30000.0,5.5,5.01,0,,,
SVL,2016-04-14,5.01,10035300.0,5.3,5.0,0,,,
SVL,2016-04-15,5.13,91289.0,5.2,5.1,0,0.4019,0.0,0.0
SVL,2016-04-18,5.05,377543.0,5.45,5.0,0,,,
SVL,2016-04-19,5.07,6100.0,5.13,5.05,0,,,
SVL,2016-04-20,5.1,11000.0,5.1,5.1,0,,,
SVL,2016-04-21,5.0,20005000.0,5.1,5.0,0,,,
SVL,2016-04-22,5.5,1007250.0,5.5,5.4,0,,,
SVL,2016-04-26,5.5,63960.0,5.5,5.49,1,,,
SVL,2016-04-27,5.4,23800.0,5.49,5.39,0,,,
SVL,2016-04-28,5.17,240047.0,5.49,5.05,0,,,
SVL,2016-04-29,5.28,160489.0,5.5,5.06,0,,,
SVL,2016-05-02,5.0,9000.0,5.0,5.0,0,,,
SVL,2016-05-03,5.5,2086.0,5.5,5.5,0,,,
SVL,2016-05-04,5.57,7760.0,5.65,5.5,0,0.0,1.0,0.0
SVL,2016-05-05,5.45,80300.0,5.5,5.35,0,,,
SVL,2016-05-06,5.43,13812.0,5.49,5.35,0,0.4019,0.0,0.0
