Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
TROPICAL,2020-09-29,1.0,0.0,1.0,1.0,0,,,
TROPICAL,2020-09-30,1.278139,5764184.0,1.3,1.22,0,,,
TROPICAL,2020-10-01,1.28266,6620968.0,1.35,1.16,0,,,
TROPICAL,2020-10-02,1.145902,5436363.0,1.22,1.01,0,,,
TROPICAL,2020-10-05,1.063069,4460990.0,1.15,1.02,0,,,
TROPICAL,2020-10-06,1.051843,2003876.0,1.08,1.03,0,,,
TROPICAL,2020-10-07,1.039464,972457.0,1.05,1.02,0,,,
TROPICAL,2020-10-08,1.055108,2656928.0,1.1,1.02,0,,,
TROPICAL,2020-10-09,1.089247,876254.0,1.1,1.07,0,,,
TROPICAL,2020-10-12,1.092113,793822.0,1.1,1.07,0,,,
TROPICAL,2020-10-13,1.099656,576875.0,1.12,1.08,0,,,
TROPICAL,2020-10-14,1.135119,1549487.0,1.16,1.1,0,,,
TROPICAL,2020-10-15,1.155006,375005.0,1.17,1.15,0,,,
TROPICAL,2020-10-16,1.153162,379495.0,1.17,1.15,0,,,
TROPICAL,2020-10-20,1.187603,3944991.0,1.25,1.14,1,,,
TROPICAL,2020-10-21,1.184512,696728.0,1.23,1.17,0,0.0,0.0,0.0
TROPICAL,2020-10-22,1.202721,1139241.0,1.23,1.19,0,,,
TROPICAL,2020-10-23,1.198617,462122.0,1.2,1.18,0,,,
TROPICAL,2020-10-26,1.204086,1457400.0,1.25,1.19,0,,,
TROPICAL,2020-10-27,1.2061540000000002,610629.0,1.25,1.16,0,,,
TROPICAL,2020-10-28,1.203833,469837.0,1.21,1.2,0,,,
TROPICAL,2020-10-29,1.201597,469072.0,1.23,1.18,0,,,
TROPICAL,2020-10-30,1.241857,767279.0,1.27,1.2,0,,,
TROPICAL,2020-11-02,1.235673,489722.0,1.27,1.16,0,,,
TROPICAL,2020-11-03,1.211382,297149.0,1.24,1.17,0,,,
TROPICAL,2020-11-04,1.234057,258623.0,1.26,1.22,0,,,
TROPICAL,2020-11-05,1.232587,123750.0,1.25,1.23,0,,,
TROPICAL,2020-11-06,1.217896,601792.0,1.25,1.2,0,,,
TROPICAL,2020-11-09,1.249617,749717.0,1.25,1.24,0,,,
TROPICAL,2020-11-10,1.250481,285848.0,1.26,1.23,0,,,
TROPICAL,2020-11-11,1.255851,225808.0,1.26,1.24,0,,,
TROPICAL,2020-11-12,1.231117,252423.0,1.25,1.2,0,,,
TROPICAL,2020-11-13,1.200761,44163.0,1.22,1.2,0,,,
TROPICAL,2020-11-16,1.193761,288661.0,1.21,1.16,0,,,
TROPICAL,2020-11-17,1.205835,294941.0,1.21,1.2,0,,,
TROPICAL,2020-11-18,1.2,341083.0,1.2,1.2,0,,,
TROPICAL,2020-11-19,1.199933,588526.0,1.2,1.19,0,,,
TROPICAL,2020-11-20,1.195965,116983.0,1.2,1.18,0,,,
TROPICAL,2020-11-23,1.1822700000000002,218622.0,1.2,1.16,0,,,
TROPICAL,2020-11-24,1.155546,176737.0,1.19,1.14,0,,,
TROPICAL,2020-11-25,1.1567,675760.0,1.2,1.1,0,,,
TROPICAL,2020-11-26,1.173632,20772.0,1.19,1.16,0,,,
TROPICAL,2020-11-27,1.168014,256976.0,1.19,1.1,0,,,
TROPICAL,2020-11-30,1.2147290000000002,1579900.0,1.25,1.11,0,,,
TROPICAL,2020-12-01,1.203939,225701.0,1.22,1.17,0,,,
TROPICAL,2020-12-02,1.192182,6082.0,1.2,1.19,0,,,
TROPICAL,2020-12-03,1.2,55833.0,1.2,1.2,0,,,
TROPICAL,2020-12-04,1.158009,50919.0,1.18,1.15,0,,,
TROPICAL,2020-12-07,1.1865290000000002,317250.0,1.22,1.13,0,,,
TROPICAL,2020-12-08,1.191446,41500.0,1.2,1.19,0,,,
TROPICAL,2020-12-09,1.1812790000000002,8600.0,1.19,1.16,0,,,
TROPICAL,2020-12-10,1.129096,366394.0,1.19,1.1,0,,,
TROPICAL,2020-12-11,1.133643,164691.0,1.18,1.13,0,,,
TROPICAL,2020-12-14,1.168408,90846.0,1.17,1.16,0,,,
TROPICAL,2020-12-15,1.167239,182970.0,1.17,1.16,0,,,
TROPICAL,2020-12-16,1.169837,209170.0,1.2,1.15,0,,,
TROPICAL,2020-12-17,1.197084,86840.0,1.2,1.19,0,,,
TROPICAL,2020-12-18,1.171005,328366.0,1.2,1.15,0,,,
TROPICAL,2020-12-21,1.174872,31228.0,1.18,1.17,0,,,
TROPICAL,2020-12-22,1.154174,154479.0,1.16,1.15,0,,,
TROPICAL,2020-12-23,1.15333,389844.0,1.17,1.14,0,,,
TROPICAL,2020-12-24,1.1504299999999998,512488.0,1.17,1.13,0,,,
TROPICAL,2020-12-28,1.143075,203686.0,1.16,1.12,1,,,
TROPICAL,2020-12-29,1.131059,160687.0,1.16,1.12,0,,,
TROPICAL,2020-12-30,1.176361,1149078.0,1.2,1.11,0,,,
TROPICAL,2020-12-31,1.190992,306400.0,1.2,1.13,0,,,
