Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
VMIL,2017-12-29,3.24,782853.0,3.24,3.2,0,,,
VMIL,2018-01-02,3.92,2353026.0,4.02,3.71,1,,,
VMIL,2018-01-03,4.27,1911097.0,4.5,4.0,0,,,
VMIL,2018-01-04,4.34,2964142.0,4.5,4.15,0,,,
VMIL,2018-01-05,4.14,3594152.0,4.3,4.0,0,,,
VMIL,2018-01-08,4.03,2401456.0,4.1,4.0,0,,,
VMIL,2018-01-09,3.97,2053519.0,4.1,3.9,0,,,
VMIL,2018-01-10,3.95,704278.0,4.0,3.82,0,,,
VMIL,2018-01-11,3.99,1099190.0,4.0,3.91,0,,,
VMIL,2018-01-12,4.05,403301.0,4.15,3.95,0,,,
VMIL,2018-01-15,4.1,489507.0,4.2,4.0,0,,,
VMIL,2018-01-16,4.05,541728.0,4.11,4.0,0,,,
VMIL,2018-01-17,4.02,864709.0,4.11,3.99,0,,,
VMIL,2018-01-18,4.01,893653.0,4.1,3.98,0,,,
VMIL,2018-01-19,4.12,462166.0,4.18,4.0,0,,,
VMIL,2018-01-22,4.05,470256.0,4.12,4.0,0,,,
VMIL,2018-01-23,4.03,218285.0,4.12,4.0,0,,,
VMIL,2018-01-24,4.08,182030.0,4.11,4.05,0,,,
VMIL,2018-01-25,4.09,215320.0,4.11,4.0,0,,,
VMIL,2018-01-26,4.07,788378.0,4.12,4.0,0,,,
VMIL,2018-01-29,4.06,1225416.0,4.15,4.0,0,,,
VMIL,2018-01-30,4.13,308773.0,4.15,4.1,0,,,
VMIL,2018-01-31,4.13,215060.0,4.18,4.1,0,,,
VMIL,2018-02-01,4.09,231077.0,4.13,4.01,0,,,
VMIL,2018-02-02,4.19,585229.0,4.25,4.15,0,,,
VMIL,2018-02-05,4.23,232213.0,4.3,4.15,0,,,
VMIL,2018-02-06,4.35,147585.0,4.4,4.24,0,,,
VMIL,2018-02-07,4.36,130063.0,4.4,4.25,0,,,
VMIL,2018-02-08,4.38,216776.0,4.5,4.32,0,,,
VMIL,2018-02-09,4.35,221578.0,4.4,4.31,0,,,
VMIL,2018-02-12,4.24,578368.0,4.35,4.15,0,,,
VMIL,2018-02-13,4.18,160956.0,4.2,4.13,0,,,
VMIL,2018-02-15,4.15,177360.0,4.24,4.1,1,,,
VMIL,2018-02-16,4.12,127537.0,4.2,4.05,0,,,
VMIL,2018-02-19,4.12,136776.0,4.15,4.12,0,-0.2263,0.0,0.0
VMIL,2018-02-20,4.17,240881.0,4.3,4.15,0,,,
VMIL,2018-02-21,4.31,221101.0,4.4,4.3,0,,,
VMIL,2018-02-22,4.18,126721.0,4.4,4.0,0,,,
VMIL,2018-02-23,4.36,188796.0,4.4,4.3,0,,,
VMIL,2018-02-26,4.36,141829.0,4.4,4.3,0,,,
VMIL,2018-02-27,4.36,90290.0,4.4,4.35,0,-0.0258,0.0,0.0
VMIL,2018-02-28,4.39,247305.0,4.49,4.3,0,,,
VMIL,2018-03-01,4.42,454250.0,4.49,4.3,0,0.0,1.0,0.0
VMIL,2018-03-02,4.45,216227.0,4.5,4.42,0,,,
VMIL,2018-03-05,4.49,2484967.0,4.85,4.15,0,,,
VMIL,2018-03-06,4.51,1963833.0,4.6,4.5,0,,,
VMIL,2018-03-07,4.54,1394445.0,4.65,4.5,0,,,
VMIL,2018-03-08,4.52,754989.0,4.6,4.5,0,,,
VMIL,2018-03-09,4.54,570504.0,4.65,4.5,0,,,
VMIL,2018-03-12,4.54,640453.0,4.55,4.51,0,,,
VMIL,2018-03-13,4.5,1464709.0,4.55,4.5,0,0.6369,0.0,1.0
VMIL,2018-03-14,4.53,285741.0,4.57,4.5,0,,,
VMIL,2018-03-15,4.51,732219.0,4.57,4.5,0,0.0772,0.0,1.0
VMIL,2018-03-16,4.54,281020.0,4.57,4.5,0,,,
VMIL,2018-03-19,4.5,718287.0,4.54,4.5,0,,,
VMIL,2018-03-20,4.57,907199.0,4.65,4.5,0,,,
VMIL,2018-03-21,4.5,1558306.0,4.6,4.5,0,,,
VMIL,2018-03-22,4.49,557890.0,4.6,4.4,0,,,
VMIL,2018-03-23,4.49,524181.0,4.6,4.35,0,,,
VMIL,2018-03-26,4.37,659569.0,4.5,4.21,0,0.6369,0.0,1.0
VMIL,2018-03-27,4.46,379300.0,4.49,4.35,0,0.0772,0.0,1.0
VMIL,2018-03-28,4.18,600506.0,4.5,4.1,0,,,
VMIL,2018-03-29,4.47,731119.0,4.49,4.15,0,,,
VMIL,2018-04-03,4.19,474525.0,4.48,4.05,2,,,
VMIL,2018-04-04,4.13,771188.0,4.47,4.03,0,0.4588,0.0,1.0
VMIL,2018-04-05,4.05,657398.0,4.38,4.0,0,0.2023,0.0,0.0
VMIL,2018-04-06,4.11,151100.0,4.38,4.0,0,,,
VMIL,2018-04-09,4.17,223469.0,4.3,4.05,0,,,
VMIL,2018-04-10,4.15,19427.0,4.35,4.0,0,,,
VMIL,2018-04-11,4.08,589168.0,4.17,4.0,0,,,
VMIL,2018-04-12,4.05,139875.0,4.2,4.0,0,,,
VMIL,2018-04-13,4.12,95150.0,4.2,4.05,0,,,
VMIL,2018-04-16,4.19,191987.0,4.2,4.11,0,,,
VMIL,2018-04-17,4.17,98903.0,4.2,4.15,0,,,
VMIL,2018-04-18,4.29,49453.0,4.35,4.25,0,,,
VMIL,2018-04-19,4.3,124747.0,4.38,4.25,0,,,
VMIL,2018-04-20,4.36,38035.0,4.38,4.25,0,,,
VMIL,2018-04-23,4.28,218181.0,4.36,4.21,0,,,
VMIL,2018-04-24,4.24,295323.0,4.37,4.15,0,,,
VMIL,2018-04-25,4.19,357576.0,4.3,4.05,0,,,
VMIL,2018-04-26,4.26,130176.0,4.3,4.2,0,,,
VMIL,2018-04-27,4.21,227874.0,4.25,4.2,0,,,
VMIL,2018-04-30,4.2,194155.0,4.26,4.07,0,,,
VMIL,2018-05-01,4.21,25187.0,4.25,4.07,0,,,
VMIL,2018-05-02,4.25,155194.0,4.26,4.2,0,,,
VMIL,2018-05-03,4.23,166533.0,4.3,4.2,0,,,
VMIL,2018-05-04,4.2,497877.0,4.38,4.15,0,,,
VMIL,2018-05-07,4.32,118068.0,4.39,4.24,0,,,
VMIL,2018-05-08,4.29,125374.0,4.39,4.2,0,,,
VMIL,2018-05-09,4.31,166857.0,4.39,4.3,0,,,
VMIL,2018-05-10,4.25,131830.0,4.39,4.2,0,,,
VMIL,2018-05-11,4.38,723173.0,4.4,4.3,0,-0.2263,0.0,0.0
VMIL,2018-05-14,4.23,278596.0,4.4,4.18,0,0.0,1.0,0.0
VMIL,2018-05-15,4.2,84132.0,4.25,4.18,0,,,
VMIL,2018-05-16,4.2,262618.0,4.2,4.18,0,,,
VMIL,2018-05-17,4.19,234667.0,4.2,4.15,0,,,
VMIL,2018-05-18,4.18,77262.0,4.2,4.11,0,-0.3182,0.0,0.0
VMIL,2018-05-21,4.16,76060.0,4.17,4.15,0,,,
VMIL,2018-05-22,4.13,101057.0,4.2,4.11,0,,,
VMIL,2018-05-24,4.11,77137.0,4.17,4.1,1,,,
VMIL,2018-05-25,4.09,281461.0,4.17,4.05,0,,,
VMIL,2018-05-28,3.99,1373388.0,4.17,3.8,0,,,
VMIL,2018-05-29,3.98,607884.0,4.0,3.86,0,,,
VMIL,2018-05-30,3.99,84661.0,4.0,3.98,0,,,
VMIL,2018-05-31,3.97,37052.0,4.0,3.9,0,,,
VMIL,2018-06-01,3.96,50009.0,4.0,3.9,0,0.268,0.0,1.0
VMIL,2018-06-04,4.02,519329.0,4.17,4.0,0,,,
VMIL,2018-06-05,4.03,243913.0,4.15,4.0,0,,,
VMIL,2018-06-06,3.95,152682.0,4.0,3.9,0,,,
VMIL,2018-06-07,3.91,442461.0,4.0,3.9,0,0.0772,0.0,1.0
VMIL,2018-06-08,4.0,102912.0,4.0,3.99,0,,,
VMIL,2018-06-11,4.0,46455.0,4.0,3.96,0,,,
VMIL,2018-06-12,4.02,583930.0,4.2,4.0,0,,,
VMIL,2018-06-13,4.08,311254.0,4.15,4.05,0,,,
VMIL,2018-06-14,4.03,100000.0,4.1,4.0,0,,,
VMIL,2018-06-15,3.98,568164.0,4.08,3.91,0,,,
VMIL,2018-06-18,4.04,62655.0,4.1,4.0,0,,,
VMIL,2018-06-19,4.0,281346.0,4.04,3.91,0,,,
VMIL,2018-06-20,4.16,890049.0,4.3,3.95,0,,,
VMIL,2018-06-21,4.24,184963.0,4.25,4.0,0,,,
VMIL,2018-06-22,4.18,68541.0,4.25,4.0,0,,,
VMIL,2018-06-25,4.02,105465.0,4.15,3.91,0,,,
VMIL,2018-06-26,4.0,291915.0,4.15,3.91,0,,,
VMIL,2018-06-27,4.0,106932.0,4.02,4.0,0,,,
VMIL,2018-06-28,4.02,96781.0,4.1,3.97,0,,,
VMIL,2018-06-29,4.03,311760.0,4.1,4.0,0,,,
VMIL,2018-07-02,4.04,253319.0,4.1,4.0,0,,,
VMIL,2018-07-03,4.01,67250.0,4.1,4.0,0,,,
VMIL,2018-07-04,3.99,168000.0,4.0,3.91,0,,,
VMIL,2018-07-05,3.99,43562.0,4.01,3.97,0,,,
VMIL,2018-07-06,3.98,178791.0,4.0,3.95,0,,,
VMIL,2018-07-09,3.95,73301.0,4.0,3.91,0,,,
VMIL,2018-07-10,3.99,73469.0,4.0,3.95,0,,,
VMIL,2018-07-11,3.99,151229.0,4.08,3.91,0,,,
VMIL,2018-07-12,3.99,21600.0,3.99,3.99,0,,,
VMIL,2018-07-13,3.92,708852.0,4.05,3.92,0,,,
VMIL,2018-07-16,4.0,435070.0,4.05,3.92,0,,,
VMIL,2018-07-17,3.97,129986.0,4.0,3.95,0,,,
VMIL,2018-07-18,3.98,27522.0,4.0,3.97,0,,,
VMIL,2018-07-19,3.98,28121.0,4.0,3.92,0,,,
VMIL,2018-07-20,3.93,41040.0,4.0,3.92,0,,,
VMIL,2018-07-23,3.98,124910.0,4.0,3.92,0,,,
VMIL,2018-07-24,3.94,59404.0,3.99,3.92,0,,,
VMIL,2018-07-25,4.0,79700.0,4.0,3.99,0,,,
VMIL,2018-07-26,4.0,5944.0,4.0,4.0,0,,,
VMIL,2018-07-27,3.94,25400.0,4.0,3.91,0,-0.2263,0.0,0.0
VMIL,2018-07-30,3.94,37045.0,4.0,3.92,0,,,
VMIL,2018-07-31,3.93,151270.0,3.94,3.91,0,,,
VMIL,2018-08-02,3.97,179756.0,4.0,3.91,1,,,
VMIL,2018-08-03,3.96,50310.0,4.0,3.91,0,,,
VMIL,2018-08-07,3.92,79614.0,3.99,3.91,1,,,
VMIL,2018-08-08,3.96,20208.0,3.99,3.92,0,,,
VMIL,2018-08-09,3.92,7500.0,3.92,3.92,0,,,
VMIL,2018-08-10,3.92,110650.0,3.96,3.91,0,,,
VMIL,2018-08-13,3.91,298913.0,3.93,3.91,0,,,
VMIL,2018-08-14,3.92,229631.0,3.95,3.91,0,0.0,1.0,0.0
VMIL,2018-08-15,3.93,271858.0,4.0,3.91,0,-0.2263,0.0,0.0
VMIL,2018-08-16,3.91,259324.0,3.93,3.9,0,,,
VMIL,2018-08-17,3.77,604043.0,3.9,3.51,0,,,
VMIL,2018-08-20,3.52,500675.0,3.7,3.5,0,,,
VMIL,2018-08-21,3.59,344506.0,3.89,3.5,0,,,
VMIL,2018-08-22,3.59,810200.0,3.63,3.5,0,,,
VMIL,2018-08-23,3.6,95900.0,3.65,3.6,0,,,
VMIL,2018-08-24,3.62,170624.0,3.7,3.6,0,,,
VMIL,2018-08-27,3.61,101222.0,3.65,3.6,0,,,
VMIL,2018-08-28,3.61,195063.0,3.7,3.6,0,,,
VMIL,2018-08-29,3.53,984214.0,3.8,3.5,0,0.0772,0.0,1.0
VMIL,2018-08-30,3.53,181774.0,3.6,3.5,0,,,
VMIL,2018-08-31,3.61,372206.0,3.8,3.55,0,0.0772,0.0,1.0
VMIL,2018-09-03,3.67,48329.0,3.87,3.6,0,,,
VMIL,2018-09-04,3.65,472933.0,3.87,3.6,0,,,
VMIL,2018-09-05,3.67,80853.0,3.8,3.6,0,,,
VMIL,2018-09-06,3.57,394130.0,4.0,3.52,0,,,
VMIL,2018-09-07,3.53,205883.0,3.64,3.5,0,,,
VMIL,2018-09-10,3.45,300891.0,3.65,3.01,0,,,
VMIL,2018-09-11,3.47,22000.0,3.5,3.45,0,,,
VMIL,2018-09-12,3.25,135800.0,3.42,3.2,0,,,
VMIL,2018-09-13,3.27,472145.0,3.43,3.21,0,,,
VMIL,2018-09-14,3.38,877157.0,3.47,3.25,0,,,
VMIL,2018-09-17,3.47,487461.0,3.6,3.45,0,,,
VMIL,2018-09-18,3.46,474825.0,3.5,3.45,0,,,
VMIL,2018-09-19,3.55,10138.0,3.59,3.51,0,,,
VMIL,2018-09-20,3.71,245238.0,3.99,3.5,0,,,
VMIL,2018-09-21,3.75,15679.0,3.9,3.64,0,,,
VMIL,2018-09-24,3.68,101842.0,3.89,3.64,0,,,
VMIL,2018-09-25,3.74,168538.0,3.75,3.7,0,,,
VMIL,2018-09-26,3.73,143646.0,3.8,3.65,0,,,
VMIL,2018-09-27,3.76,290741.0,4.0,3.7,0,,,
VMIL,2018-09-28,3.79,298900.0,3.89,3.66,0,,,
VMIL,2018-10-01,3.82,75310.0,3.9,3.7,0,,,
VMIL,2018-10-02,3.9,109073.0,4.05,3.66,0,,,
VMIL,2018-10-03,4.03,64584.0,4.05,4.0,0,,,
VMIL,2018-10-04,3.92,177164.0,4.05,3.6,0,,,
VMIL,2018-10-05,4.02,42555.0,4.05,4.0,0,,,
VMIL,2018-10-08,4.01,114522.0,4.02,3.95,0,,,
VMIL,2018-10-09,3.95,370126.0,4.01,3.91,0,,,
VMIL,2018-10-10,4.02,536154.0,4.05,3.95,0,,,
VMIL,2018-10-11,4.01,256668.0,4.1,3.8,0,,,
VMIL,2018-10-16,4.05,129376.0,4.1,4.01,2,,,
VMIL,2018-10-17,4.0,50000.0,4.0,4.0,0,,,
VMIL,2018-10-18,4.15,631604.0,4.5,4.0,0,,,
VMIL,2018-10-19,4.07,725534.0,4.5,4.0,0,,,
VMIL,2018-10-22,4.13,142057.0,4.2,4.0,0,,,
VMIL,2018-10-23,4.12,87548.0,4.5,4.0,0,0.0,0.0,0.0
VMIL,2018-10-24,4.02,41517.0,4.1,3.97,0,,,
VMIL,2018-10-25,3.97,11000.0,4.0,3.92,0,-0.2263,0.0,0.0
VMIL,2018-10-26,3.89,131715.0,3.97,3.85,0,,,
VMIL,2018-10-29,3.84,47747.0,3.95,3.8,0,,,
VMIL,2018-10-30,3.99,78638.0,4.13,3.84,0,,,
VMIL,2018-10-31,4.0,140060.0,4.15,3.99,0,,,
VMIL,2018-11-01,3.97,131025.0,4.15,3.95,0,,,
VMIL,2018-11-02,4.04,19538.0,4.15,4.0,0,,,
VMIL,2018-11-05,4.09,55145.0,4.12,4.0,0,,,
VMIL,2018-11-06,4.01,1026110.0,4.15,3.98,0,,,
VMIL,2018-11-07,4.01,27000.0,4.01,4.0,0,,,
VMIL,2018-11-08,4.03,68338.0,4.1,4.0,0,,,
VMIL,2018-11-09,4.0,787348.0,4.1,4.0,0,,,
VMIL,2018-11-12,4.02,17805.0,4.15,4.0,0,,,
VMIL,2018-11-13,4.03,54161.0,4.03,3.98,0,,,
VMIL,2018-11-14,4.03,154409.0,4.05,3.97,0,0.0386,0.0,0.0
VMIL,2018-11-15,3.98,100944.0,4.0,3.88,0,,,
VMIL,2018-11-16,4.0,82230.0,4.06,4.0,0,,,
VMIL,2018-11-19,3.99,215103.0,4.0,3.81,0,,,
VMIL,2018-11-20,3.84,93216.0,3.89,3.81,0,,,
VMIL,2018-11-21,3.83,106225.0,3.85,3.8,0,,,
VMIL,2018-11-22,3.75,86361.0,3.82,3.68,0,,,
VMIL,2018-11-23,3.67,188787.0,3.8,3.5,0,,,
VMIL,2018-11-26,3.55,587616.0,3.75,3.55,0,,,
VMIL,2018-11-27,3.62,165262.0,3.8,3.55,0,,,
VMIL,2018-11-28,3.75,188632.0,3.8,3.65,0,,,
VMIL,2018-11-29,3.77,15321.0,3.8,3.7,0,,,
VMIL,2018-11-30,3.8,90918.0,3.9,3.6,0,,,
VMIL,2018-12-03,3.61,145528.0,3.75,3.55,0,,,
VMIL,2018-12-04,3.65,230707.0,3.9,3.55,0,,,
VMIL,2018-12-05,3.91,1246476.0,4.0,3.6,0,,,
VMIL,2018-12-06,3.74,63771.0,3.8,3.65,0,,,
VMIL,2018-12-07,3.66,108529.0,3.8,3.6,0,0.3818,0.0,0.0
VMIL,2018-12-10,3.56,249453.0,3.8,3.55,0,,,
VMIL,2018-12-11,3.57,45700.0,3.6,3.55,0,,,
VMIL,2018-12-12,3.6,94851.0,3.6,3.57,0,,,
VMIL,2018-12-13,3.56,138790.0,3.6,3.55,0,,,
VMIL,2018-12-14,3.56,94622.0,3.61,3.55,0,,,
VMIL,2018-12-17,3.6,280768.0,3.65,3.51,0,,,
VMIL,2018-12-18,3.52,246627.0,3.7,3.5,0,0.0772,0.0,1.0
VMIL,2018-12-19,3.57,35190.0,3.69,3.55,0,,,
VMIL,2018-12-20,3.55,194009.0,3.6,3.53,0,,,
VMIL,2018-12-21,3.61,168880.0,3.7,3.5,0,,,
VMIL,2018-12-24,3.5,38793.0,3.8,3.45,0,,,
VMIL,2018-12-27,3.7,49812.0,3.7,3.69,2,,,
VMIL,2018-12-28,3.7,46750.0,3.75,3.7,0,,,
VMIL,2018-12-31,3.76,33938.0,3.8,3.75,0,,,
VMIL,2019-01-02,3.82,70834.0,4.0,3.75,1,,,
VMIL,2019-01-03,3.85,137604.0,3.85,3.82,0,,,
VMIL,2019-01-04,3.84,36755.0,3.9,3.82,0,,,
VMIL,2019-01-07,3.91,334162.0,4.0,3.85,0,,,
VMIL,2019-01-08,3.9,100147.0,3.9,3.9,0,,,
VMIL,2019-01-09,3.9,59606.0,3.92,3.9,0,,,
VMIL,2019-01-10,3.88,98978.0,4.0,3.8,0,,,
VMIL,2019-01-11,3.78,231646.0,3.88,3.7,0,,,
VMIL,2019-01-14,3.99,160620.0,3.99,3.95,0,,,
VMIL,2019-01-15,3.63,30404.0,3.9,3.5,0,,,
VMIL,2019-01-16,3.92,39128.0,3.95,3.8,0,,,
VMIL,2019-01-17,3.91,245490.0,4.0,3.8,0,,,
VMIL,2019-01-18,4.0,151937.0,4.1,4.0,0,,,
VMIL,2019-01-21,3.92,26112.0,4.0,3.9,0,,,
VMIL,2019-01-22,3.84,10726.0,3.9,3.6,0,,,
VMIL,2019-01-23,3.8,42816.0,3.9,3.6,0,,,
VMIL,2019-01-24,3.78,14862.0,3.9,3.65,0,,,
VMIL,2019-01-25,3.78,32476.0,3.85,3.65,0,,,
VMIL,2019-01-28,3.81,80102.0,3.85,3.75,0,,,
VMIL,2019-01-29,3.84,322440.0,4.0,3.65,0,,,
VMIL,2019-01-30,4.0,7028.0,4.0,4.0,0,,,
VMIL,2019-01-31,4.02,65129.0,4.05,4.0,0,,,
VMIL,2019-02-01,4.01,68900.0,4.05,3.7,0,,,
VMIL,2019-02-04,4.01,2402133.0,4.03,3.97,0,,,
VMIL,2019-02-05,3.85,60720.0,4.01,3.8,0,,,
VMIL,2019-02-06,4.06,72173.0,4.1,4.01,0,,,
VMIL,2019-02-07,4.0,54100.0,4.09,3.84,0,,,
VMIL,2019-02-08,3.95,49250.0,4.05,3.9,0,,,
VMIL,2019-02-11,3.99,137261.0,4.05,3.91,0,,,
VMIL,2019-02-12,3.77,236520.0,4.05,3.65,0,-0.2263,0.0,0.0
VMIL,2019-02-13,4.05,30867.0,4.05,4.05,0,,,
VMIL,2019-02-14,3.98,31119.0,4.05,3.9,0,,,
VMIL,2019-02-15,3.96,152284.0,4.01,3.8,0,,,
VMIL,2019-02-18,3.96,130273.0,4.0,3.9,0,,,
VMIL,2019-02-19,3.98,200504.0,4.0,3.96,0,,,
VMIL,2019-02-20,3.92,144083.0,4.0,3.9,0,,,
VMIL,2019-02-21,3.96,50339.0,3.96,3.92,0,,,
VMIL,2019-02-22,3.77,557353.0,3.96,3.65,0,,,
VMIL,2019-02-25,3.89,26060.0,3.95,3.82,0,,,
VMIL,2019-02-26,3.8,171666.0,3.95,3.7,0,,,
VMIL,2019-02-27,3.8,135241.0,3.95,3.7,0,,,
VMIL,2019-02-28,3.8,35004.0,3.9,3.8,0,,,
VMIL,2019-03-01,3.87,57000.0,3.95,3.82,0,-0.2263,0.0,0.0
VMIL,2019-03-04,3.86,82917.0,3.87,3.85,0,-0.4939,1.0,0.0
VMIL,2019-03-05,3.95,359198.0,3.99,3.88,0,,,
VMIL,2019-03-07,3.99,127802.0,4.0,3.96,1,,,
VMIL,2019-03-08,3.75,352533.0,3.99,3.65,0,,,
VMIL,2019-03-11,3.89,493408.0,4.0,3.66,0,0.0,1.0,0.0
VMIL,2019-03-12,3.77,200522.0,4.0,3.75,0,,,
VMIL,2019-03-13,3.91,410600.0,4.0,3.75,0,,,
VMIL,2019-03-14,3.97,126837.0,3.97,3.95,0,,,
VMIL,2019-03-15,3.94,69328.0,3.97,3.9,0,,,
VMIL,2019-03-18,3.95,100.0,3.95,3.95,0,,,
VMIL,2019-03-19,3.95,48967.0,3.95,3.9,0,,,
VMIL,2019-03-20,3.95,252243.0,3.97,3.95,0,,,
VMIL,2019-03-21,3.96,155700.0,3.97,3.95,0,,,
VMIL,2019-03-22,3.96,27100.0,3.97,3.96,0,,,
VMIL,2019-03-25,3.98,230884.0,4.0,3.95,0,,,
VMIL,2019-03-26,3.94,367668.0,3.99,3.87,0,0.4588,0.0,1.0
VMIL,2019-03-27,3.9,503369.0,3.96,3.88,0,,,
VMIL,2019-03-28,3.89,103151.0,3.9,3.87,0,0.0772,0.0,1.0
VMIL,2019-03-29,3.86,163259.0,3.94,3.76,0,,,
VMIL,2019-04-01,3.92,101021.0,3.94,3.9,0,-0.2263,0.0,0.0
VMIL,2019-04-02,3.88,597440.0,3.95,3.75,0,0.0772,0.0,1.0
VMIL,2019-04-03,3.88,132934.0,3.94,3.69,0,,,
VMIL,2019-04-04,3.97,130807.0,3.98,3.88,0,,,
VMIL,2019-04-05,3.98,69044.0,4.0,3.9,0,0.0772,0.0,1.0
VMIL,2019-04-08,3.89,180700.0,3.95,3.7,0,,,
VMIL,2019-04-09,3.9,105627.0,3.99,3.9,0,,,
VMIL,2019-04-10,3.8,31254.0,3.94,3.76,0,,,
VMIL,2019-04-11,3.83,138470.0,3.9,3.75,0,,,
VMIL,2019-04-12,3.9,76034.0,3.95,3.9,0,,,
VMIL,2019-04-15,3.92,25249.0,3.95,3.8,0,,,
VMIL,2019-04-16,3.87,34038.0,3.9,3.85,0,,,
VMIL,2019-04-17,3.8,6300.0,3.8,3.8,0,,,
VMIL,2019-04-18,3.85,118112.0,3.9,3.8,0,,,
VMIL,2019-04-23,3.9,159116.0,3.99,3.8,2,,,
VMIL,2019-04-24,3.81,106401.0,3.91,3.8,0,,,
VMIL,2019-04-25,3.81,25464.0,3.9,3.75,0,,,
VMIL,2019-04-26,3.79,74035.0,3.95,3.75,0,-0.2263,0.0,0.0
VMIL,2019-04-29,3.75,203450.0,3.75,3.74,0,,,
