Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
WISYNCO,2017-12-28,9.9,2925359.0,10.09,9.06,0,-0.1531,0.0,0.0
WISYNCO,2017-12-29,12.24,5090376.0,13.81,11.0,0,,,
WISYNCO,2018-01-02,12.58,5546728.0,13.0,11.99,1,,,
WISYNCO,2018-01-03,11.99,3785911.0,12.51,11.38,0,0.0976,0.0,0.0
WISYNCO,2018-01-04,11.44,1851366.0,12.0,11.0,0,,,
WISYNCO,2018-01-05,10.57,2698773.0,12.0,10.0,0,,,
WISYNCO,2018-01-08,10.07,2722139.0,10.6,10.0,0,,,
WISYNCO,2018-01-09,10.01,4981783.0,10.5,9.83,0,,,
WISYNCO,2018-01-10,9.95,2440080.0,10.05,9.81,0,,,
WISYNCO,2018-01-11,9.97,2467837.0,10.01,9.55,0,,,
WISYNCO,2018-01-12,9.86,574139.0,10.5,9.51,0,,,
WISYNCO,2018-01-15,10.04,1107314.0,10.5,9.75,0,,,
WISYNCO,2018-01-16,10.06,470131.0,10.5,9.99,0,,,
WISYNCO,2018-01-17,10.06,981918.0,10.5,9.75,0,,,
WISYNCO,2018-01-18,9.96,1751629.0,10.5,9.74,0,,,
WISYNCO,2018-01-19,10.29,433313.0,10.75,10.0,0,,,
WISYNCO,2018-01-22,10.51,1127628.0,10.75,10.29,0,,,
WISYNCO,2018-01-23,10.57,334820.0,10.75,10.49,0,,,
WISYNCO,2018-01-24,10.54,386112.0,10.7,10.5,0,,,
WISYNCO,2018-01-25,10.71,127568.0,10.75,10.7,0,,,
WISYNCO,2018-01-26,10.53,295467.0,10.75,10.2,0,,,
WISYNCO,2018-01-29,10.72,900281.0,10.75,10.15,0,,,
WISYNCO,2018-01-30,10.71,1249530.0,11.45,10.35,0,,,
WISYNCO,2018-01-31,11.05,4146449.0,11.99,10.5,0,,,
WISYNCO,2018-02-01,10.45,1495101.0,11.99,10.31,0,,,
WISYNCO,2018-02-02,10.55,677923.0,11.52,10.5,0,,,
WISYNCO,2018-02-05,10.71,561023.0,10.75,10.5,0,,,
WISYNCO,2018-02-06,10.71,494217.0,10.75,10.5,0,,,
WISYNCO,2018-02-07,10.74,388813.0,10.75,10.55,0,0.0,1.0,0.0
WISYNCO,2018-02-08,10.51,1219288.0,10.75,10.4,0,,,
WISYNCO,2018-02-09,10.51,741658.0,10.75,10.5,0,0.4588,0.0,1.0
WISYNCO,2018-02-12,10.69,339550.0,11.0,10.51,0,,,
WISYNCO,2018-02-13,10.7,802550.0,10.75,10.45,0,,,
WISYNCO,2018-02-15,10.54,905215.0,10.7,10.46,1,,,
WISYNCO,2018-02-16,10.54,304203.0,10.69,10.45,0,0.0772,0.0,1.0
WISYNCO,2018-02-19,10.48,282109.0,10.69,10.4,0,,,
WISYNCO,2018-02-20,10.49,297244.0,10.69,10.35,0,,,
WISYNCO,2018-02-21,10.6,16421906.0,10.8,10.1,0,,,
WISYNCO,2018-02-22,10.47,143855.0,10.7,10.05,0,,,
WISYNCO,2018-02-23,10.23,198937.0,10.5,10.05,0,,,
WISYNCO,2018-02-26,10.46,96567.0,10.5,10.37,0,0.4588,0.0,1.0
WISYNCO,2018-02-27,10.47,673630.0,10.5,10.3,0,,,
WISYNCO,2018-02-28,10.78,3266124.0,11.49,10.25,0,,,
WISYNCO,2018-03-01,10.55,456979.0,10.78,10.5,0,,,
WISYNCO,2018-03-02,10.25,111757051.0,10.73,10.25,0,0.4588,0.0,1.0
WISYNCO,2018-03-05,10.56,525358.0,10.73,10.5,0,,,
