Symbol,Date,Close_Price,Volume_non_block,Today_High,Today_Low,no_days_not_traded_since_last_traded,sentiment,is_regarding_financial_report,is_sold_pur_shares
CCC,2016-01-04,20.15,10000.0,20.44,20.0,0,,,
CCC,2016-01-05,19.5,5019013.0,20.44,19.06,0,,,
CCC,2016-01-06,20.24,163870.0,21.0,19.6,0,,,
CCC,2016-01-07,20.87,90670.0,26.5,20.5,0,,,
CCC,2016-01-08,22.03,90201.0,25.0,21.05,0,,,
CCC,2016-01-11,24.07,11122.0,25.0,22.05,0,,,
CCC,2016-01-12,25.74,138475.0,26.5,24.0,0,,,
CCC,2016-01-13,26.1,77398.0,27.5,24.25,0,,,
CCC,2016-01-14,23.7,487713.0,27.75,20.5,0,,,
CCC,2016-01-15,23.71,4884.0,24.0,23.7,0,,,
CCC,2016-01-18,24.26,26583.0,24.5,22.5,0,,,
CCC,2016-01-19,22.82,31378.0,24.5,21.52,0,,,
CCC,2016-01-20,24.87,16132.0,25.0,24.3,0,,,
CCC,2016-01-21,24.79,53086.0,25.0,24.5,0,,,
CCC,2016-01-22,21.06,223713.0,24.6,20.55,0,,,
CCC,2016-01-25,24.88,425288.0,25.5,24.0,0,,,
CCC,2016-01-26,25.76,54507.0,26.0,24.88,0,0.872,0.0,0.0
CCC,2016-01-27,26.6,29517.0,28.0,25.76,0,,,
CCC,2016-01-28,25.31,176469.0,30.0,24.4,0,,,
CCC,2016-01-29,28.59,9011.0,30.0,26.6,0,,,
CCC,2016-02-01,28.6,8800.0,28.6,28.6,0,,,
CCC,2016-02-02,28.64,9884.0,28.99,27.5,0,,,
CCC,2016-02-03,28.77,3500.0,28.99,28.6,0,,,
CCC,2016-02-04,28.31,46195.0,28.9,28.0,0,,,
CCC,2016-02-05,28.43,23393.0,28.87,27.5,0,,,
CCC,2016-02-08,28.0,23691.0,28.87,27.1,0,,,
CCC,2016-02-09,28.08,22982.0,28.8,27.15,0,,,
CCC,2016-02-11,27.74,35992.0,28.0,27.0,1,,,
CCC,2016-02-12,27.84,48626.0,28.0,27.0,0,,,
CCC,2016-02-15,28.28,23415.0,30.0,27.02,0,,,
CCC,2016-02-16,27.26,18305.0,27.5,26.6,0,,,
CCC,2016-02-17,29.89,83508.0,30.0,27.0,0,,,
CCC,2016-02-18,28.49,11868.0,30.5,27.5,0,,,
CCC,2016-02-19,28.93,31123.0,30.0,28.4,0,,,
CCC,2016-02-22,30.04,15333.0,30.5,30.0,0,,,
CCC,2016-02-23,34.0,2000.0,34.0,34.0,0,,,
CCC,2016-02-24,31.0,1133522.0,34.0,30.0,0,-0.2263,0.0,0.0
CCC,2016-02-25,32.4,36000.0,33.0,31.9,0,,,
CCC,2016-02-26,31.45,22375.0,32.5,30.0,0,,,
CCC,2016-02-29,27.28,203998.0,30.0,24.5,0,0.0,1.0,0.0
CCC,2016-03-01,21.27,84835.0,25.0,20.0,0,,,
CCC,2016-03-02,22.18,123032.0,23.0,21.27,0,,,
CCC,2016-03-03,23.04,50199.0,25.0,22.18,0,-0.2263,1.0,0.0
CCC,2016-03-04,23.85,213601.0,24.05,23.5,0,,,
CCC,2016-03-07,23.46,122871.0,24.5,23.11,0,,,
CCC,2016-03-08,22.46,182378.0,23.5,20.0,0,,,
CCC,2016-03-09,20.8,218612.0,23.0,18.06,0,,,
CCC,2016-03-10,19.69,145972.0,20.0,19.2,0,,,
CCC,2016-03-11,19.2,151107.0,20.5,19.0,0,,,
CCC,2016-03-14,19.13,49597.0,20.0,19.0,0,,,
CCC,2016-03-15,19.99,23847.0,20.01,19.5,0,,,
CCC,2016-03-16,20.0,81142.0,20.0,20.0,0,,,
CCC,2016-03-17,22.5,400.0,22.5,22.5,0,,,
CCC,2016-03-18,22.65,109949.0,24.0,20.51,0,,,
CCC,2016-03-21,22.44,2246.0,22.65,22.0,0,,,
CCC,2016-03-22,22.96,10000.0,23.0,22.65,0,,,
CCC,2016-03-23,22.58,12539.0,23.0,22.5,0,,,
CCC,2016-03-29,23.63,28374.0,24.0,23.0,3,,,
CCC,2016-03-30,24.04,24896.0,25.0,24.0,0,,,
CCC,2016-03-31,26.78,15038.0,28.49,24.5,0,,,
CCC,2016-04-01,25.0,2600.0,25.0,25.0,0,,,
CCC,2016-04-04,25.51,11815.0,27.0,25.5,0,,,
CCC,2016-04-05,25.38,11217.0,25.6,25.0,0,,,
CCC,2016-04-06,24.0,250.0,24.0,24.0,0,0.6486,0.0,0.0
CCC,2016-04-07,23.2,18082.0,23.9,22.8,0,,,
CCC,2016-04-08,22.5,2922.0,22.5,22.5,0,,,
CCC,2016-04-11,22.5,3236.0,22.5,22.5,0,,,
