Filename,Symbol,Date_Model_Completed,MAE,MEDAE,MSE,RMSE,MAPE,MDAPE,Feature_Names,Feature_Count,epochs,Training_Duration_minutes
mv_SJ_4_25_lstm_model.h5,SJ,2021-08-15 08:56:47,1.7228,0.9241,7.3985,2.72,3.5993,1.9623,Today_High|Today_Low|Close_Price|Volume_non_block,4,25,7
mv_SGJ_4_25_lstm_model.h5,SGJ,2021-08-15 09:03:16,1.0502,0.7221,2.6996,1.6431,2.2836,1.4464,Today_High|Today_Low|Close_Price|Volume_non_block,4,25,6
mv_GK_4_25_lstm_model.h5,GK,2021-08-15 09:09:45,1.1836,1.0383,2.5729,1.604,1.9291,1.7124,Today_High|Today_Low|Close_Price|Volume_non_block,4,25,6
mv_JMMBGL_4_25_lstm_model.h5,JMMBGL,2021-08-15 09:15:15,0.6851,0.5407,0.9038,0.9507,1.9326,1.6274,Today_High|Today_Low|Close_Price|Volume_non_block,4,25,5
mv_JBG_4_25_lstm_model.h5,JBG,2021-08-15 09:21:44,0.8354,0.6523,1.28,1.1314,3.0843,2.2937,Today_High|Today_Low|Close_Price|Volume_non_block,4,25,6
mv_LASD_4_25_lstm_model.h5,LASD,2021-08-15 09:27:12,0.0877,0.0599,0.0172,0.1313,2.9194,1.8814,Today_High|Today_Low|Close_Price|Volume_non_block,4,25,5
mv_CAR_4_25_lstm_model.h5,CAR,2021-08-15 09:32:41,0.1483,0.1323,0.0357,0.1889,2.1883,1.9671,Today_High|Today_Low|Close_Price|Volume_non_block,4,25,5
mv_LASM_4_25_lstm_model.h5,LASM,2021-08-15 09:38:10,0.1233,0.0868,0.0294,0.1715,3.1658,2.2063,Today_High|Today_Low|Close_Price|Volume_non_block,4,25,5
mv_SVL_4_25_lstm_model.h5,SVL,2021-08-15 09:43:38,0.6608,0.5863,0.6821,0.8259,4.0688,3.6607,Today_High|Today_Low|Close_Price|Volume_non_block,4,25,5
mv_CCC_4_25_lstm_model.h5,CCC,2021-08-15 09:49:07,1.6378,1.1059,5.9955,2.4486,3.3877,2.0957,Today_High|Today_Low|Close_Price|Volume_non_block,4,25,5
mv_LASF_4_25_lstm_model.h5,LASF,2021-08-15 09:54:35,0.0958,0.057,0.0231,0.152,3.5848,2.145,Today_High|Today_Low|Close_Price|Volume_non_block,4,25,5
mv_PJAM_4_25_lstm_model.h5,PJAM,2021-08-15 10:00:04,1.4543,1.082,4.7462,2.1786,2.0126,1.4169,Today_High|Today_Low|Close_Price|Volume_non_block,4,25,5
